product_description,reason_for_recall,status,classification,recalling_firm,recall_initiation_date,voluntary_mandated,city,state
"Amantadine HCl Capsules, USP, 100 mg, Rx Only,  50 Capsules (5x10) Unit Dose Cartons, Manufactured for: AvKARE Inc, Pulaski, TN 38478 --- NDC: 50268-0069-15","Labeling; Label Mix up; cartons labeled as Amantadine HCl 100 mg Capsules contain unit dose blister cards of Cyclobenzaprine HCl Tablet, USP 5 mg",Terminated,Class II,Apace KY LLC,20170619,Voluntary: Firm initiated,Fountain Run,KY
"Edarbi (azilsartan medoxomil) tablets 80 mg 30 Tablets Rx Only NDC 60631-080-30 Manufactured for: arbor Pharmaceuticals Atlanta, GA 30328",CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,Class II,Cardinal Health Inc.,20210315,Voluntary: Firm initiated,Dublin,OH
"HCG 1,100 IU/ml Injection, Multi-Dose Vial, Sterile, Refrigerate The Compounding Pharmacy of America, Knoxville, TN",Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,Class II,The Compounding Pharmacy of America,20150602,Voluntary: Firm initiated,Knoxville,TN
"Carisoprodol Tablets, USP 350 mg, Rx Only, 1000 tablets.  Dist by: West-ward Pharmaceutical Corp. Eatontown, NJ 07724. Mfd by: Shasun Chemicals and Drugs Limited, Unit II, R. S. Na 32, 33, 743 PIMS Rd, Periyakalepet, Pondicherry. 605014 INDIA. NDC 0143-9749-10.","Presence of Foreign Substance; heavy metals (chromium, titanium etc) and inactive components of the product were visually observed during routine stability testing",Terminated,Class II,West-Ward Pharmaceutical Corp.,20131107,Voluntary: Firm initiated,Eatontown,NJ
"Enoxaparin Sodium Injection, USP, 150MG/ML Single-Dose Syringes with Automatic Safety Device, For Subcutaneous Injection, Ten 1 mL Syringes per box, Rx Only, Sandoz Inc, Princeton, NJ 08540.  NDC: 0781-3299-69",CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,Terminated,Class II,CARDINAL HEALTHCARE,20220126,Voluntary: Firm initiated,Dublin,OH
"Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-156-04.","Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.",Terminated,Class I,Westminster Pharmaceuticals LLC,20180803,Voluntary: Firm initiated,Olive Branch,MS
"Human Chorionic Gonadotropin 6,000 iu/Vial, For SC Use -Lyophilized, Rx Only, KRS Global Biotechnology, 791 Park of Commerce Blvd, Boca Raton, FL 33487.",Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,Terminated,Class II,"KRS Global Biotechnology, Inc",20171116,Voluntary: Firm initiated,Boca Raton,FL
"HYDROMORPHONE (a) 1MG/ML IN NS,  50ML, 75 ML, 100ML, 175ML(NDC 00703-0018-01 and NDC 00409-2634-50) ; (b) 5MG/ML IN NS 60ML, 100ML, 250ML; pain, Rx only, used with a Curlin pump or no pump, Sentara Home Infusion Pharmacy Services, 535 Independence Pkwy, Ste 300, Chesapeake, VA 23320, NDC# 00409-2634-50",Lack of sterility assurance,Completed,Class II,Sentara Infusion Services,20221227,Voluntary: Firm initiated,Chesapeake,VA
"Testosterone 20 mg, Sterile Pellet, The Compounding Pharmacy of America, Knoxville, TN",Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,Class II,The Compounding Pharmacy of America,20150602,Voluntary: Firm initiated,Knoxville,TN
"FAMOTIDINE Tablet, 20 mg, Over The Counter, Distributed by: AidaPak Service, LLC, NDC 16714036104","Labeling: Label Mixup; FAMOTIDINE Tablet, 20 mg may be potentially mislabeled as    CARVEDILOL PHOSPHATE ER, Capsule, 20 mg, NDC 00007337113, Pedigree: W003225, EXP: 6/17/2014;  DULoxetine HCl DR, Capsule, 20 mg, NDC 00002323560, Pedigree: W003506, EXP: 6/21/2014;  FAMOTIDINE, Tablet, 20 mg, NDC 16714036104, Pedigree: W003507, EXP: 6/21/2014;  MYCOPHENOLATE MOFETIL, Capsule, 250 mg, NDC 0037822500",Terminated,Class II,"Aidapak Services, LLC",20130702,Voluntary: Firm initiated,Vancouver,WA
Ling Zhi capsules,"Marketed Without An Approved NDA/ANDA: Flawless Beauty, LLC is voluntarily recalling all lots of different products sold individually or as part of multi-unit kits in accordance with Consent Decree of Permanent Injunction ordered by the United States District Court due to misbranding and unapproved new drugs pursuant to the FD&C Act.",Terminated,Class II,Flawless Beauty LLC,20180119,Voluntary: Firm initiated,Asbury Park,NJ
"Alprazolam C-IV, 1 mg, packaged in a) 30 Tabs per bottle, NDC 72189-213-30; b) 60 Tabs per bottle, NDC 72189-213-60; Rx only, Packaged and Distributed By: Direct Rx Dawsonville, GA 30534.",CGMP Deviations: Repackaging firm recalling due to potential product cross contamination concerns at the manufacturer.,Ongoing,Class II,Direct Rx,20230322,Voluntary: Firm initiated,Dawsonville,GA
"Nizatidine Oral Solution, 15 mg/mL (75 mg/5mL) USP 480 mL bottles, Rx Only Distributed by: Gemini Laboratories, LLC Bridgewater, NJ 08807 NDC 60846-301-15",CGMP Deviations: potential N-Nitrosodimethylamine (NDMA) amounts above levels established by the FDA.,Terminated,Class II,"Amneal Pharmaceuticals of New York, LLC",20200415,Voluntary: Firm initiated,Brookhaven,NY
"Excedrin Migraine (Acetaminophen 250 mg, Aspirin (NSAID) 250 mg and Caffeine 65 mg), a) 2-count tablets packaged in pouches, Distributed by Novartis Consumer Health, Inc., Parsippany, NJ, NDC 0067 203 702     Foreign packaging: b) Excedrin Migrana (Acetaminophen 250 mg, Aspirin 250 mg and 65 mg Caffeine) 2-ct pouches.  The foreign packaging do not have NDC numbers",Defective container: products are packaged in pouches which may not have been fully sealed,Terminated,Class II,Novartis Consumer Health,20130606,Voluntary: Firm initiated,Lincoln,NE
"Homatropine Methylbromide active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,Class II,Attix Pharmaceuticals,20141114,Voluntary: Firm initiated,Toronto,
"SkinGuard 24 All-Day Hand Sanitizer 8 oz. bottle with foam pump, Dist by: SG24 LLC, Bolingbroke, GA 31004  UPC 793573147125",Marketed without an Approved NDA/ANDA; product labeled to contain 0.56% methanol making it an unapproved new drug,Terminated,Class I,SG24 LLC,20200814,Voluntary: Firm initiated,Bolingbroke,GA
"Human Chorionic Gonadotropin 5,000 IU vials, Rx only, Pharm D. Solutions 1304 South Loop West, Houston, TX 77054, 1-844-263-6846",Lack of Sterility Assurance.,Terminated,Class II,"Pharm D Solutions, LLC",20190523,FDA Mandated,Houston,TX
"MEDROXYPROGESTERONE ACETATE 300 MG/ML Suspension, 10 mL vial, Rx only, Vital Care Compounder, 115 S. 40th Ave., Hattiesburg, MS  39402",Lack of Assurance of Sterility: FDA inspection found the recalled products were produced in a manner than cannot guarantee the sterility of the products purported to be sterile.,Ongoing,Class II,"Pharmacy Plus, Inc. dba Vital Care Compounder",20221007,Voluntary: Firm initiated,Hattiesburg,MS
"Unguentine Original Maximum Strength Pain Relieving/Antiseptic Ointment (Camphor 3.0%, Phenol 2.5%, Tannic Acid 2.2%, Oxide 6.6%), packaged in 1 oz. (28.3g) metal tubes, Distributed by: Oakhurst Company Levittown, NY 11756",CGMP DEVIATIONS,Terminated,Class II,"Ecometics, Inc.",20230224,Voluntary: Firm initiated,Norwalk,CT
"Nortrel (norethindrone and ethinyl estradiol tablets USP) 0.5/35, packaged in cartons, each carton contains 3 blister cards, each card contains 28 tablets, Rx only, TEVA PHARMACEUTICALS USA, INC., North Wales, PA 19454, NDC 0555-9008-67",Discoloration: discolored tablets (shades of blue) mixed in with the white inert remainder tablets.,Ongoing,Class III,"Teva Pharmaceuticals USA, Inc",20240125,Voluntary: Firm initiated,Parsippany,NJ
"Methyl Folate Calcium active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,Class II,Attix Pharmaceuticals,20141114,Voluntary: Firm initiated,Toronto,
"Haloperidol Decanoate Injection 50mg/mL, 1mL Single-Dose Vial, Rx Only, Manufactured by: Somerset Therapeutics Limited, Kamataka India, Manufactured for: BluePoint Laboratories NDC 68001-580-41",Lack of Assurance of Sterility: Media fill with bacterial contamination,Ongoing,Class II,Somerset Therapeutics Private Limited,20250321,Voluntary: Firm initiated,Bengaluru,N/A
"Polyoxyl Lauryl Ether (Polidocanol) Injection, LAURETH-9 (POLIDOCANOL) 5% INJECTABLE, For IV Use, 30 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-060-3",Lack of Assurance of Sterility,Terminated,Class II,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceutical",20200115,Voluntary: Firm initiated,Los Angeles,CA
"LOSARTAN POTASSIUM 50 mg TABLET BULK  90 count bottles and 1000 count bottles, NDC 00591-3746-00",CGMP Deviations: impurity for N-Nitroso-N-methyl-4-aminobutyric acid (NMBA) detected in the active pharmaceutical ingredient (API) used to manufacture finished products.,Ongoing,Class II,Teva Pharmaceuticals USA,20190606,Voluntary: Firm initiated,Parsippany,NJ
"Benzocaine 20%, Lidocaine 6%, Tetracaine 4% Cream packaged in jars, Rx Only, KRS Global Biotechnology, 791 Park of Commerce Blvd, Boca Raton, FL 33487.",Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,Terminated,Class II,"KRS Global Biotechnology, Inc",20171116,Voluntary: Firm initiated,Boca Raton,FL
"CABTREO (clindamycin phosphate, adapalene and benzoyl peroxide) Topical Gel 1.2%/0.15%/3.1%, Not for Oral, Ophthalmic or Intravaginal Use, Rx Only, Net Wt. 50g, Distributed by Bausch Health US, LLC Bridgewater, NJ 08807 USA, Manufactured by: Bausch Health Companies, Inc. Laval Quebec H7L 448, Canada, NDC 0187-0006-25.",CGMP Deviations: Product was stored outside labeled storage temperature requirements. Product was exposed to controlled room temperature environment instead of remaining refrigerated.,Terminated,Class II,MCKESSON CORPORATION,20240212,Voluntary: Firm initiated,IRVING,TX
"Glycopyrrolate in all strengths, all doses, and all packaging.",Lack of sterility assurance.,Terminated,Class II,"Pharmedium Services, LLC",20171227,Voluntary: Firm initiated,Lake Forest,IL
"PHENYLephrine 40 mg in 0.9% Sodium Chloride 250 mL, Rx only, SCA Pharmaceuticals 8821 Knoedl Ct Little Rock, AR 72205 --- NDC# 70004-0812-40",Lack of Assurance of Sterility; product has the potential to leak.,Terminated,Class II,SCA Pharmaceuticals,20170714,Voluntary: Firm initiated,Little Rock,AR
"xigduo XR (dapgliflozin/metformin HCl extended-release) tablets 10 mg/1000 mg 30 Tablets Rx only NDC 0310-6280-30 Manufactured for: AstraZeneca Pharmaceuticals LP Wilmington, DE 19850  Manufactured by: Bristol-Myers Squibb Manufacturing Company Humacao, Puerto Rico 00791",CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,Class II,Cardinal Health Inc.,20210315,Voluntary: Firm initiated,Dublin,OH
"CVS Health Redness Relief Lubricant Redness Reliever Eye Drops, Sterile, 1 fl. oz., (30 mL), Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895",Lack of Assurance of Sterility,Completed,Class II,"Altaire Pharmaceuticals, Inc.",20190702,Voluntary: Firm initiated,Aquebogue,NY
"APAP 500 mg tablet (Acetaminophen 500 mg) Bulk Container, ULTRAtab Laboratories, Inc., Highland, NY NDC 62959-210-00",CGMP Deviations,Terminated,Class II,"ULTRAtab Laboratories, Inc.",20220126,Voluntary: Firm initiated,Highland,NY
"Progesterone 50 mg/ml, Clinical Specialties Compounding Pharmacy, 318 Baston Road, Augusta, GA 30907",Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Terminated,Class II,Clinical Specialties Compounding Pharmacy,20130320,Voluntary: Firm initiated,Augusta,GA
"Tremfya (guselkumab) Injection, 100 mg/mL, one single-dose prefilled syringe per carton, Rx only, Manufactured by: Janssen Biotech, Inc., Horsham, PA  19044; NDC 57894-640-01.",Temperature Abuse,Terminated,Class III,Cardinal Health Inc.,20210309,Voluntary: Firm initiated,Dublin,OH
"Dr. King's Natural Medicine Homeopathic Hydration, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955024224, NDC 57955-0242-2",Microbial contamination,Terminated,Class I,King Bio Inc.,20180720,Voluntary: Firm initiated,Asheville,NC
"Desmopressin Acetate Tablets, 0.1 mg Tablets, Rx Only, Packed in 30 Tablet (3 x 10) Cartons.  Packaged and Distributed by: American Health Packaging Columbus, Ohio 43217. NDC: 68084-606-21.",Tablets/Capsules Imprinted with Wrong ID: Some tablets incorrectly imprinted with an X on one side.,Terminated,Class III,American Health Packaging,20150626,Voluntary: Firm initiated,Columbus,OH
Zarxio 300 mcg/0.5 mL PFS NDC 14 days supply,Lack of Processing Controls.,Terminated,Class II,"Kroger Specialty Pharmacy, Inc.",20180403,Voluntary: Firm initiated,Vicksburg,MS
"Morphine Sulfate Extended-Release Tablets, 60 mg, 100-count bottles, Rx Only, Manufactured by: Novel Laboratories, Inc. Somerset, NJ 08873 Manufactured for: Lupin Pharmaceuticals, Inc. Baltimore, MD 21202  NDC 43386-542-01",Failed Impurities/Degradation Specifications,Terminated,Class III,LUPIN SOMERSET,20190410,Voluntary: Firm initiated,Somerset,NJ
QP COUGH COLD TABLET 16 CT distributed to specific Family Dollar Stores 04/30/2022 through 06/10/2022.,CGMP Deviations: product held outside appropriate storage temperature conditions.,Ongoing,Class II,"Family Dollar Stores, Llc.",20220623,Voluntary: Firm initiated,Chesapeake,VA
"AMBI 2CPM/15DM/5PEH, Antihistamine,  Nasal Decongestant,  Fruit Candy Flavor, 16 fl oz. bottle, OTC, Manufactured for: AMBI Pharmaceuticals, Brooksville, FL 34604, NDC 66870-0228-16.",CGMP Deviations: Products are underdosed or have an incorrect dosage regime.,Terminated,Class II,"TG United, Inc.",20130130,Voluntary: Firm initiated,Brooksville,FL
"Phentermine Hydrochloride Capsules, USP, 15 mg, packaged in a) 100-count bottle (NDC 10702-0026-01; UPC 3 10702 02601 8) and b) 1000-count bottle (NDC 10702-0026-10; UPC 3 10702 02601 0); Rx only, Mfd. by KVK-TECH, Inc., Newtown, PA",Failed Impurities/Degradation Specifications: out-of-specification results for individual unknown and total impurity at the 12th month room temperature stability test station,Terminated,Class III,"KVK-Tech, Inc.",20150714,Voluntary: Firm initiated,Newtown,PA
"Testosterone 40 mg pellet packaged in amber vial,   Rx only, Partell Specialty Pharmacy, 5835 S. Eastern Ave.   #101, Las Vegas, NV 89119 (702) 791-3800",Lack of Assurance Sterility: Firm is recalling various drug products due to a non-approved method of sterilization.,Terminated,Class II,Partell Specialty Pharmacy,20180322,Voluntary: Firm initiated,Las Vegas,NV
"Bismuth Subsalicylate Oral Suspension 262mg/15mL, unit dose cups, OTC, Rpkg. By.: Lohxa Worcester, MA, NDC 70166-059-01",Labeling: Incorrect or Missing Lot and/or Exp Date - the label contains an incorrect Exp Date.,Terminated,Class II,Lohxa LLC,20190325,Voluntary: Firm initiated,Worcester,MA
"M.I.C B-COMPLEX PREMIX W/HYDROXY B12  W/PRES. (BENZALKONIUM 0.01%)  HYDROXY B12 1MG; B1 0.833MG; B2 0.083MG; B3 0.833MG,  B5 0.083MG, B6 0.083MG, CYANO B12 1.66MCG,  METHIONINE 0.208MG, INOSITOL 0.416MG, CHOLINE CL 1.66MG/ML, 10ML Vials, MEDAUS PHARMACY",Lack of Assurance of Sterility,Terminated,Class II,"Medaus, Inc.",20160513,Voluntary: Firm initiated,Birmingham,AL
"INJECTAFER 720 MG in 100 ml NS IVPB; INJECTAFER 210 MG in 100 ml NS IVPB, Rx Only, Infusion Options, Inc. 5924 13the Ave, Brooklyn, NY 11219-4934, 718-283-7233",Lack of Assurance of Sterility,Terminated,Class II,"Infusion Options, Inc.",20190612,Voluntary: Firm initiated,Brooklyn,NY
"Belbuca (buprenorphine hydrochloride) buccal film 300 mcg 60 pouches containing 1 buccal film each Rx only NDC 59385-023-60 Manufactured for: BioDelivery Sciences International, Inc. Raleigh, NC 27612.",CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,Class II,Cardinal Health Inc.,20210315,Voluntary: Firm initiated,Dublin,OH
"Nifedipine USP  for prescription compounding, packaged in a) 5g (NDC 58597-8025-2); b) 25g (NDC 58597-8025-4); c) 100g (NDC 58597-8025-6); d) 500g (NDC 58597-8025-7), RX only, packed by American Pharmaceutical Ingredients, LLC 6650 Highland Road, Waterford, MI 48327",CGMP Deviations: Lack of stability data and controls to support the manufacturers assigned retest or expiration date in firm's container/closure system.,Terminated,Class II,American Pharmaceutical Ingredients LLC,20180209,Voluntary: Firm initiated,Waterford,MI
"FLUCONAZOLE, Tablet, 200 mg, Rx only, Distributed by: AidaPak Service, LLC, NDC 00172541360.","Labeling: Label Mixup: FLUCONAZOLE, Tablet, 200 mg may have potentially been mislabeled as one of the following drugs:  VALSARTAN, Tablet, 80 mg, NDC 00078035834, Pedigree: AD65475_10, EXP: 5/28/2014;  FLUCONAZOLE, Tablet, 100 mg, NDC 68462010230, Pedigree: W003064, EXP: 6/12/2014.",Terminated,Class II,"Aidapak Services, LLC",20130702,Voluntary: Firm initiated,Vancouver,WA
"Cefdinir for Oral Suspension USP, 125mg/5mL, packaged in a) 60mL (NDC 68180-722-20), b)100mL (NDC 68180-722-10), Rx Only, Manufactured for: Lupin Pharmaceuticals Inc. Baltimore, MD 21202; Manufactured by: Lupin Limited Mandideep 462 046 INDIA",CGMP Deviations: Product complaints received indicating reconstituted suspension was observed to be thick.,Terminated,Class II,Lupin Pharmaceuticals Inc.,20190102,Voluntary: Firm initiated,Baltimore,MD
"Ondansetron Injection, USP, 4mg/2mL, (2mg/ml), 2mL single-dose Fliptop Vial, Rx only, Sterile, NDC 0409-4755-03, Hospira, Inc, Lake Forest, IL 60045.",Presence of Particulate; lot being recalled as a precaution due to the discovery of 2 particles found in a lot which preceded the recalled lot,Terminated,Class II,"Hospira, Inc.",20130520,Voluntary: Firm initiated,Lake Forest,IL
"Succinylcholine Chloride all strengths, all dosage forms and all packaging, Rx  Only, Avella of Houston, Houston, TX 77054",Labeling: Not Elsewhere Classified: Products may contain synthetic latex and/or natural latex.,Terminated,Class II,Advanced Pharma Inc.,20170222,Voluntary: Firm initiated,Houston,TX
"Mic Ultra-Sulfur Free 30ml, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,Class II,"Main Street Family Pharmacy, LLC",20130528,Voluntary: Firm initiated,Newbern,TN
"BIEST TD 80/20 (Estradiol (E2) Trit (Yellow)/Estriol USP Micronized (E3) : PROG (Progesterone USP Micronized)  : TESTO (Testosterone USP) : DHEA  (Dehydroepiandrosterone Micronized) W/V (weight/volume) VERSABASE 2.5 : 17.5 : 1.25 :0.25MG/ML Transdermal cream, dispensed in 10 mL prefilled, amber syringes, Rx only,The Compounder, 340 Marshall Avenue Unit 100, Aurora, IL 60506.",Recalled products were made using an active ingredient that was recalled by a supplier due to penicillin cross contamination.,Terminated,Class II,the Compounder,20150310,Voluntary: Firm initiated,Aurora,IL
"FentaNYL 500 mcg/250 mL - Bupivacaine HCl 0.1% in 0.9% Sodium Chloride 250mL Bag, Injection for Epidural Use (fentaNYL Concentration - 2 mcg/mL), Rx Only, Single Dose Container, SCA Pharmaceuticals, 755 Rainbow Rd, Windsor, CT 06095, NDC# 70004-0253-40",cGMP deviations: due to shipment of rejected units.,Terminated,Class II,SCA Pharmaceuticals,20230720,Voluntary: Firm initiated,Windsor,CT
"Cathflo activase (ALTEPLASE), 2mg vials, Rx only, Genentech Inc., South San Francisco, CA 94080, NDC 50242-041-64",Lack of Assurance of Sterility: Deformed stoppers observed during filling operations for Cathflo Activase.,Terminated,Class II,"Genentech, Inc.",20240520,Voluntary: Firm initiated,South San Francisco,CA
"Klean Touch Hand Sanitizer (Ethyl Alcohol 70%) Ingredients Ethanol and Methanol, in 55-gallon drums, Aroma Release Technology, Inc., 7026 Discovery Drive, Chattanooga, TN 37416",Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,Terminated,Class I,Aroma Release Technologies Inc,20211130,Voluntary: Firm initiated,Chattanooga,TN
"Hand Sanitizer, HSANI500ML, (Isopropyl Alcohol), 75% v/v, packaged in a) 500 mL bottle and b) 6 x 500 mL bottles per case, Thermo Fisher Scientific: Janssen Pharmaceuticalaan 3a, 2440 Geel - Belgium, 1 Reagent Lane, Fair Lawn, NJ 07410.","CGMP Deviations: Voluntary recall of all hand sanitizer distributed after March 31, 2022, due to FDA issued guidance to cease placing hand sanitizer product, produced under temporary approval, into the market after March 31, 2022.",Ongoing,Class II,"Fisher Scientific Co., LLC",20230117,Voluntary: Firm initiated,Fair Lawn,NJ
"VITAMIN B COMPLEX WITH C/FOLIC ACID, Tablet, Over The Counter, Distributed by: AidaPak Service, LLC, NDC 60258016001","Labeling:Label Mixup; VITAMIN B COMPLEX WITH C/FOLIC ACID, Tablet may be potentially mislabeled as    LEVOTHYROXINE SODIUM, Tablet, 88 mcg, NDC 00378180701, Pedigree: AD73652_10, EXP: 5/30/2014;  HYOSCYAMINE SULFATE ER, Tablet, 0.375 mg, NDC 43199001401, Pedigree: W003576, EXP: 6/24/2014;  MELATONIN, Tablet, 3 mg, NDC 51991001406, Pedigree: AD70655_14, EXP: 5/28/2014;  MELATONIN, Tablet, 3 mg, NDC",Terminated,Class II,"Aidapak Services, LLC",20130702,Voluntary: Firm initiated,Vancouver,WA
"Prostatin Capsules, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",CGMP Deviations: Products were manufactured outside of the controls required by current Good Manufacturing Practices.,Terminated,Class II,Herbal Doctor Remedies,20190712,Voluntary: Firm initiated,Monterey Park,CA
"B COMPLEX INJ CMP-NO B12, NO LIDOCAINE  INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",Lack of assurance of sterility,Terminated,Class II,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy",20211012,Voluntary: Firm initiated,San Antonio,TX
"Dr. King's SafeCare Rx UlcerPlex, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955175025, NDC 57955-0188-2",Microbial contamination,Terminated,Class I,King Bio Inc.,20180720,Voluntary: Firm initiated,Asheville,NC
