nct_id,title,official_title,status,why_stopped,phase,study_type,enrollment,conditions,drug_names,intervention_types,primary_outcomes,start_date,completion_date,sponsor,sponsor_type
NCT00622570,Comparison of Effectiveness of Pentobarbital and Thiopental in Patients With Refractory Intracranial Hypertension,Comparison of Effectiveness of Pentobarbital and Thiopental in Patients With Refractory Intracranial Hypertension.,TERMINATED,Slowly recruitment rate. Intermediate analysis,PHASE3,INTERVENTIONAL,44,Traumatic Brain Injury,"Pentobarbital, thiopental","DRUG, DRUG",Intracranial pressure control,2002-05,2007-12,Hospital Universitari Son Dureta,OTHER
NCT03278873,Long-Term Follow-Up Gene Therapy Study for Achromatopsia CNGB3 and CNGA3,"Long-term Follow-up Study of Participants Following an Open Label, Multi-centre, Phase I/II Dose Escalation Trial of a Recombinant Adeno-associated Virus Vector (AAV2/8-hCARp.hCNGB3 and AAV2/8-hG1.7p.coCNGA3) for Gene Therapy of Adults and Children With Achromatopsia Owing to Defects in CNGB3 or CNGA3",TERMINATED,Strategic decision to not further develop AAV8-hCARp.hCNGB3 and AAV8-hG1.7p.coCNGA3. The decision is not due to safety concerns.,,OBSERVATIONAL,34,Achromatopsia,Prior exposure to AAV-CNGA3 or AAV-CNGB3,BIOLOGICAL,Incidence of Adverse Events Related to the Treatment,2017-06-29,2024-04-04,MeiraGTx UK II Ltd,INDUSTRY
NCT00299273,High Fat - High Protein Diet in the Treatment of Obesity,Exploratory Feasibility Study: High Fat/Protein Diet in the Treatment of Obesity,TERMINATED,PI left institution,NA,INTERVENTIONAL,8,Obesity,,BEHAVIORAL,Visceral adipose tissue,2006-03,2014-12,Rockefeller University,OTHER
NCT02037373,Evaluation of the Safety of Octaplas™ Versus Plasma in Patients Undergoing Orthotopic Liver Transplantation,Post-Marketing Requirement Study to Evaluate the Safety of Octaplas™ Versus Plasma in Patients Undergoing Orthotopic Liver Transplantation With Special Emphasis on Hyperfibrinolysis.,TERMINATED,FDA released requirement to complete study,,OBSERVATIONAL,43,"Coagulopathy, Endstage Liver Disease","Octaplas™, Plasma","BIOLOGICAL, BIOLOGICAL","To assess the incidence of hyperfibinolysis in patients undergoing OLT receiving octaplas™ versus regular plasma (e.g., fresh frozen plasma (FFP) and other FDA and American Association of Blood Banks (AABB) approved plasma products).",2015-08,2018-02,Octapharma,INDUSTRY
NCT01700569,Phase-1 Study of Folinic Acid to Modulate MGMT Gene in Glioblastoma,"Phase I Study of Escalated Pharmacologic Dose, of Oral Folinic Acid in Combination With Temozolomide, According to Stupp R. Regimen, in Patients With Operated Grade-IV Astocytoma and a Non-methylated Gene Status of MGMT.",TERMINATED,changing the standard of care,PHASE1,INTERVENTIONAL,24,"Grade IV Astrocytoma, Glioblastoma","Temozolomide, folinic acid at pharmacological dose is the escalated drug","DRUG, DRUG, RADIATION",Maximal Tolerated Dose,2013-01,2021-04-16,Institut Cancerologie de l'Ouest,OTHER
NCT05363605,A Study of [225Ac]-FPI-1966 in Participants With Advanced Solid Tumours,"A Phase 1/2 Study of [225Ac]-FPI-1966, [111In]-FPI-1967, and Vofatamab in Participants With FGFR3-expressing Advanced, Inoperable, Metastatic and/or Recurrent Solid Tumours",TERMINATED,Fusion announced that it is discontinuing this study as part of a portfolio prioritization and assessment; Fusion no longer plans to pursue development of FPI-1966.,"PHASE1, PHASE2",INTERVENTIONAL,6,"Advanced Solid Tumor, Head and Neck Squamous Cell Carcinoma, Bladder Carcinoma, Susceptible FGFR3 Genetic Alterations, FGFR3, FGFR3 Overexpression, FGFR3 Receptor, FGFR3 Protein Overexpression, Ovarian Cancer, Colorectal Cancer, Breast Cancer, Liver Cancer, Lung Cancer, Gastric Cancer","[225Ac]-FPI-1966, [111In]-FPI-1967, vofatamab","DRUG, DRUG, BIOLOGICAL","Phase 1: Phase 1: Incidence of AEs to evaluate safety and tolerability of [225Ac]-FPI-1966, [111In]-FPI-1967, and vofatamab., Phase 1: Maximum tolerated dose (MTD) of [225Ac]-FPI-1966, Phase 1: Radiation dose of [111In]-FPI-1967 and [225Ac]-FPI-1966 (whole body, organs, and selected regions of interest), Phase 1: Effect of pre-dose administration of vofatamab on the radiation dosimetry of [111In]-FPI-1967 and [225Ac]-FPI-1966., Phase 2: Objective response rate (ORR) (sum of complete and partial response) per Response Evaluation Criteria in Solid Tumors (RECIST) v1.1.",2022-04-20,2023-09-08,Fusion Pharmaceuticals Inc.,INDUSTRY
NCT04990466,Phase 2b/3 Trial of VSV-ΔG SARS-CoV-2 Vaccine (BRILIFE) Against Approved Comparator Vaccine.,"A Phase IIb/3 Randomized, Multi-Center, Placebo-Controlled Noninferiority Study to Evaluate the Safety, Immunogenicity and Potential Efficacy of an rVSV-SARS-CoV-2-S Vaccine (IIBR-100) in Adults Compared to an Approved COVID-19 Vaccine",WITHDRAWN,Production of the BriLife vaccine was halted by government sponsor,"PHASE2, PHASE3",INTERVENTIONAL,0,COVID-19,"IIBR-100, Active Comparator","DRUG, DRUG",Prevention of Serology-confirmed SARS-CoV-2 infection,2021-09-30,2022-02-28,"NeuroRx, Inc.",INDUSTRY
NCT03638466,Exploratory fMRI Study on the Treatment for Impulsive Aggression in Children With ADHD,Exploratory Neuroimaging Study to Evaluate the Effect on Brain Activity of SPN-810 for Impulsive Aggression (IA) in Patients With Attention-Deficit/Hyperactivity Disorder (ADHD) in Conjunction With Standard ADHD Treatment,TERMINATED,Financial decision,PHASE2,INTERVENTIONAL,7,"Attention Deficit Hyperactivity Disorder (ADHD), Impulsive Aggression","SPN-810, Placebo","DIAGNOSTIC_TEST, DIAGNOSTIC_TEST, BEHAVIORAL, DRUG, DRUG","Aggression-related Change in the Whole Brain in BOLD (Blood Oxygenation Level-dependent) Signal fMRI Contrast in Response to the PSAP Task, Provocation Event - Related Change in the Whole Brain in BOLD Signal fMRI Contrast in Response to the PSAP Task, Effect of SPN-810 on the Aggressions Score",2019-05-30,2019-11-07,"Supernus Pharmaceuticals, Inc.",INDUSTRY
NCT01865240,Renal Denervation for Resistant Hypertension,Renal Denervation for Resistant Hypertension,TERMINATED,No new participants enrolled. Protocol has been superseded,PHASE4,INTERVENTIONAL,5,Hypertension,,DEVICE,blood pressure control,2012-02,2013-10,Baker Heart and Diabetes Institute,OTHER
NCT03688789,Hématologie Adulte Prevalence of Adrenal Insufficiency Post-chemotherapy Adrenocorticotropia in Adult Hematology,Prevalence of Adrenal Insufficiency Post-chemotherapy Adrenocorticotropia in Adult Hematology,WITHDRAWN,Investigator leaving the hospital,NA,INTERVENTIONAL,0,Haematological Malignancy,,OTHER,Cortisol at T0 and T30 mins less than 550 nmol / L after ACTH 250 μG achieved during the last chemotherapy session,2019-01-01,2022-12-01,Rennes University Hospital,OTHER
NCT04835168,Safety and Pharmacokinetics of Orodispersible BT-11 in Active Eosinophilic Esophagitis,"A Randomized, Placebo-Controlled, Double-Blind, Multicenter Study to Evaluate Safety and Pharmacokinetics of Orodispersible BT-11 in Active Eosinophilic Esophagitis",WITHDRAWN,The closure of the study is driven by the decision to redesign the study protocol for future studies.,PHASE1,INTERVENTIONAL,0,Eosinophilic Esophagitis,"BT-11 low, BT-11 high, Placebo","DRUG, DRUG, DRUG",Incidence and severity of AEs,2022-01-30,2022-06-30,NImmune Biopharma,INDUSTRY
NCT01597791,Combined Spinal Epidural Urinary Retention,Do Women Receiving Low Dose Combined Spinal Epidural for Labor Analgesia Exhibit Less Bacteriuria Using a Urinary Retention Protocol Versus Routine Urinary Catheter Placement?,TERMINATED,Change in procedure.US technically challenging.,NA,INTERVENTIONAL,56,"Anesthesia, Pain, Urinary Retention",,"DEVICE, OTHER",Number of Participants With Positive Urine Culture,2012-03-22,2016-12-01,Northwestern University,OTHER
NCT02053597,TRIal evalUating the Menstrual and Ovarian Function of Young Breast Cancer Patients Treated With a cycloPHosphamide-free Regimen,A Phase II TRIal evalUating the Menstrual and Ovarian Function of Young Breast Cancer Patients Treated With a cycloPHosphamide-free Regimen Composed of Doxorubicin and Paclitaxel,WITHDRAWN,due to evolving scientific knowledge in the field that would make the questions being addressed in the trial less relevant,PHASE2,INTERVENTIONAL,0,Breast Cancer,"Doxorubicin, paclitaxel","DRUG, DRUG","Change from baseline in ovarian function, Change from baseline in menstrual function",2014-10,2015-07,Jules Bordet Institute,OTHER
NCT03399097,"Characterizing the Intestinal Hormonal Secretion in Non-obese, Obese and Non-obese Patients After Bariatric Surgery","Characterizing the Intestinal Hormonal Secretion in Non-obese, Obese and Non-obese Patients After Bariatric Surgery",WITHDRAWN,change sites,,OBSERVATIONAL,0,Obesity,,,"Characterization the composition of enteroendocrine cells in the obese, non-obese and non-obese post-bariatric surgery.",2018-12,2020-07-16,Dr. Ofir Harnoy MD,OTHER_GOV
NCT05987813,Transcutaneous Electric Nerve Stimulation (TENS) for Vagal Modulation,A Pilot Study of Auricular Microstimulation to Determine if it Improves Vagal Modulation,TERMINATED,the ear clip is uncomfortable and compliance is down as a result. The team is working with manufacturer to develop new ear clip that will be used in a new protocol.,NA,INTERVENTIONAL,8,Functional Gastrointestinal Disorders,,DEVICE,"Change in High-frequency Heart Rate Variability (hfHRV) at 4 Weeks, Rate of Compliance With Daily TENS Usage",2023-10-18,2024-06-04,Virginia Commonwealth University,OTHER
NCT04009460,A Study of ES101 (PD-L1x4-1BB Bispecific Antibody) in Patients With Advanced Solid Tumors,"An Open-label, Multicenter, Dose-escalation and Cohort Expansion Phase 1 Clinical Study of ES101 in Patients With Advanced Solid Tumors",TERMINATED,Sponsor's clinical development strategy adjustment,PHASE1,INTERVENTIONAL,22,"Solid Tumors, Neoplasms, Malignant Tumor",ES101,DRUG,"Maximum Tolerated Dose (MTD) and/or Recommended Phase 2 Dose (RP2D) of of ES101, Frequency of adverse events of ES101, Severity of adverse events of ES101",2019-06-28,2022-04-22,"Elpiscience Biopharma, Ltd.",INDUSTRY
NCT02906020,"A Global Study to Assess the Drug Dynamics, Efficacy, and Safety of Venglustat (GZ/SAR402671) in Parkinson's Disease Patients Carrying a Glucocerebrosidase (GBA) Gene Mutation","Multicenter, Randomized, Double-blind, Placebo Controlled Study to Assess the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of GZ/SAR402671 in Patients With Early-stage Parkinson's Disease Carrying a GBA Mutation or Other Pre-specified Variant",TERMINATED,"The topline results of the 52-week double-blind placebo-controlled period were analyzed. The study did not meet the primary or secondary endpoints. Based on these results, the decision was made to halt the long-term follow-up period of the study",PHASE2,INTERVENTIONAL,273,Parkinson's Disease,"venglustat GZ/SAR402671, Placebo","DRUG, DRUG","Part 1: Number of Participants With Treatment-Emergent Adverse Events (TEAEs), and Treatment-Emergent Serious Adverse Events (TESAEs), Part 1: Number of Participants With Abnormal Physical Examination Findings, Part 1: Number of Participants With Abnormal Neurological Examination Findings, Part 1: Number of Participants With Potentially Clinically Significant Laboratory Abnormalities: Hematology, Part 1: Number of Participants With Potentially Clinically Significant Laboratory Abnormalities: Liver Function Parameters, Part 1: Number of Participants With Potentially Clinically Significant Laboratory Abnormalities: Renal Parameters, Part 1: Number of Participants With Potentially Clinically Significant Laboratory Abnormalities: Metabolic Parameters, Part 1: Number of Participants With Potentially Clinically Significant Laboratory Abnormalities: Electrolytes Parameters, Part 1: Number of Participants With Potentially Clinically Significant Vital Signs Abnormalities, Part 1: Number of Participants With Potentially Clinically Significant Ophthalmological Abnormalities, Part 1: Number of Participants With Potentially Clinically Significant Electrocardiogram Abnormalities, Part 2: Change From Baseline to Week 52 in Movement Disorder Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Part II+III Total Score",2016-12-15,2021-05-27,"Genzyme, a Sanofi Company",INDUSTRY
NCT04575610,IRAK4 Inhibition in Treatment of COVID-19 With ARDS (I-RAMIC),Investigation of IRAK4 Inhibition to Mitigate the Impact of COVID-19 in Severe SARS-CoV-2 (I-RAMIC),TERMINATED,Study terminated due to lack of enrollment reflecting the decrease in number of COVID infections. There were no safety and/or efficacy concerns involved in the decision to stop enrollment.,PHASE2,INTERVENTIONAL,7,COVID-19,"PF-06650833, Placebo","DRUG, DRUG",All-cause mortality at Day 29,2020-11-27,2021-10-06,Yale University,OTHER
NCT03243760,Dose Escalating Study of CCI15106 Inhalation Capsules in Healthy Subjects and Moderate Chronic Obstructive Pulmonary Disease (COPD) Patients,"A Double-blind (Sponsor Unblind), Randomized, Placebo-controlled, Single and Repeat Escalating Dose Study to Investigate the Safety, Tolerability, and Pharmacokinetics of CCI15106 Capsules for Inhalation in Healthy Subjects and Patients With Moderate Chronic Obstructive Pulmonary Disease (COPD)",TERMINATED,The trial is terminated before investigation of repeat escalating doses as these will be conducted with the new formulation instead.,PHASE1,INTERVENTIONAL,60,"Pulmonary Disease, Chronic Obstructive","CCI15106 7.5 mg capsule, Placebo, Placebo-2","DRUG, DRUG, DRUG","Part 1: Number of participants with adverse events (AE), Part 2: Number of participants with AE, Part 3: Number of participants with AE, Part 1: Number of subjects with abnormal clinical hematology test findings, Part 2: Number of subjects with abnormal clinical hematology test findings, Part 3: Number of subjects with abnormal clinical hematology test findings, Part 1: Number of subjects with abnormal clinical chemistry test findings, Part 2: Number of subjects with abnormal clinical chemistry test findings, Part 3: Number of subjects with abnormal clinical chemistry test findings, Part 1: Number of subjects with abnormal urine analysis test findings, Part 2: Number of subjects with abnormal urine analysis test findings, Part 3: Number of subjects with abnormal urine analysis test findings, Part 1: Number of subjects with abnormal findings of body temperature, Part 2: Number of subjects with abnormal findings of body temperature, Part 3: Number of subjects with abnormal findings of body temperature, Part 1: Number of subjects with abnormal blood pressure values, Part 2: Number of subjects with abnormal blood pressure values, Part 3: Number of subjects with abnormal blood pressure values, Part 1: Number of subjects with abnormal pulse rate values, Part 2: Number of subjects with abnormal pulse rate values, Part 3: Number of subjects with abnormal pulse rate values, Part 1: Number of subjects with abnormal respiratory rate values, Part 2: Number of subjects with abnormal respiratory rate values, Part 3: Number of subjects with abnormal respiratory rate values, Part 1: Number of subjects with abnormal electrocardiogram (ECG) findings, Part 2: Number of subjects with abnormal ECG findings, Part 3: Number of subjects with abnormal ECG findings, Part 1: Number of subjects with abnormal Telemetry findings, Part 2: Number of subjects with abnormal telemetry findings, Part 3: Number of subjects with abnormal telemetry findings, Part 1: Number of subjects with abnormal spirometry findings, Part 2: Number of subjects with abnormal spirometry findings, Part 3: Number of subjects with abnormal spirometry findings, Part 1: Area under the curve (AUC) from time zero to infinity (AUC[0-inf] following single dose administration of CCI15106, Part 3: AUC[0-inf] following single dose administration of CCI15106, Part 1: AUC from time zero to the time of last quantifiable concentration (AUC[0-last]) following single dose administration of CCI15106, Part 3: AUC[0-last] following single dose administration of CCI15106, Part 1: Maximum plasma concentration (Cmax) following single dose administration of CCI15106, Part 2: Cmax following repeat dose administration of CCI15106, Part 3: Cmax following single dose administration of CCI15106, Part 1: time of maximum concentration (Tmax) following single dose administration of CCI15106, Part 2: Tmax following repeat dose administration of CCI15106, Part 3: Tmax following single dose administration of CCI15106, Part 1: Elimination half life (T1/2) following single dose administration of CCI15106, Part 3: T1/2 following single dose administration of CCI15106, Part 1: Clearance (CL/F) following single dose administration of CCI15106, part 3: CL/F following single dose administration of CCI15106, Part 2: AUC from time zero to end of dosing interval (AUC[0-tau]) following repeat dose administration of CCI15106",2016-02-10,2016-08-20,GlaxoSmithKline,INDUSTRY
NCT04367623,Motor Conditioning to Enhance the Effect of Physical Therapy,Exploring Brain Computer Interface Controlled Functional Electrical Stimulation as a Motor Conditioning Strategy Prior to Physical Practice in People With Subacute Spinal Cord Injury,TERMINATED,"Delays in approval process, COVID restrictions, staffing shortages",NA,INTERVENTIONAL,10,Spinal Cord Injuries,,OTHER,"Changes in Spinal Cord Independence measure (range 0 to 100, max 100), Change in the hand range of motion (range 0 to 90 degress, max 90 degress), Changes in the Manual muscle test (range 0 to 5, max 5), Change in grip strength (range 0 to 80 N, max 80 N)",2020-12-09,2022-09-01,NHS Greater Glasgow and Clyde,OTHER
NCT01313923,Evaluating Sirolimus to Treat Autoimmune Blistering Dermatosis Pemphigus,Evaluation of Sirolimus for the Treatment of the Autoimmune Blistering Dermatosis Pemphigus,TERMINATED,Lack of funding,EARLY_PHASE1,INTERVENTIONAL,3,Pemphigus,Sirolimus (formerly known as Rapamycin),DRUG,Improvement of ABSIS Score While Reducing Steroid Dosage,2011-02,2014-10,"University of California, Irvine",OTHER
NCT04846946,"HIV Prevention and PrEP Intervention for SGM Adolescents and Parents: ""Hey, Friend""","Conducting the Preparation Phase of a Multiphase Optimization Strategy (MOST) to Develop a Modular HIV Prevention and PrEP Intervention for Sexual and Gender Minority Adolescents and Parents: ""Hey, Friend""",WITHDRAWN,Opted to not conduct this study; revised to a more condensed study.,NA,INTERVENTIONAL,0,HIV Infections,,BEHAVIORAL,"HIV Knowledge, SGM Related Stigma, HIV Testing Behaviors",2022-01-01,2022-04-25,University of Alabama at Birmingham,OTHER
NCT05627388,Feasibility Study of At-Home EEG Monitoring for Hypersomnia,Feasibility Study of Utilizing At-Home Electroencephalography Monitoring for Diagnosing and Treatment Monitoring of Hypersomnia,WITHDRAWN,Study was never started. The research protocol was redeveloped and submitted as a new study therefore we would like to close this study.,NA,INTERVENTIONAL,0,"Hypersomnia, Narcolepsy",,OTHER,"Measuring sleep and wake events for the evaluation of hypersomnia disorders, Performance of the automatic scoring of the Dreem 3 compared to the consensus of 5 certified sleep scorers realized on the polysomnography, during PSG and MSLT, Measuring Treatment Efficacy with At-home EEG Monitoring (Dreem 3 System)",2023-02,2024-04-01,Kaiser Permanente,OTHER
NCT00965003,MRI Laryngeal Imaging With a Surface Coil,High Resolution MRI in the Evaluation of Laryngeal Neoplasia,TERMINATED,Absence of key personnel to conduct study,EARLY_PHASE1,INTERVENTIONAL,3,"Laryngeal Neoplasms, Head and Neck Cancers, Larynx Cancer",,PROCEDURE,Tumor stage as determined by HRMRI.,2009-07,2010-01,Stanford University,OTHER
NCT02782403,"Axitinib and Bosutinib in Treating Patients With Chronic, Accelerated, or Blastic Phase Chronic Myeloid Leukemia","Alternating or Combined Therapy With Axitinib and Bosutinib for Patients With Chronic Myeloid Leukemia in Chronic, Accelerated, or Blastic Phases",TERMINATED,Terminated per PI's request at the time of CR. Study was closed due to low/slow accrual due to other competing studies.,PHASE1,INTERVENTIONAL,4,"Accelerated Phase Chronic Myelogenous Leukemia (CML), Blast Phase Chronic Myelogenous Leukemia (CML), Chronic Phase Phase Chronic Myelogenous Leukemia (CML), Philadelphia Chromosome Positive (Ph+) Phase Chronic Myelogenous Leukemia (CML)","Axitinib, Bosutinib","DRUG, DRUG, OTHER","Rate of major cytogenetic response (MCyR) among patients with chronic myeloid leukemia, chronic phase status post (s/p) failure of/intolerance to >= 3 tyrosine kinase inhibitors treated with alternating axitinib and bosutinib (Chronic Phase Cohort), Maximum tolerated doses of the combination of axitinib and bosutinib among patients with chronic myeloid leukemia (CML)-advanced phase (AP) or -blast phase (BP) (AP patients must have received >= 1 prior TKI) (Advanced phase cohort - Phase I Portion), Complete hematologic response (CHR) rate to the combination of axitinib and bosutinib among patients with CML-AP or -BP (AP patients must have received >= 1 prior TKI) (Advanced phase cohort - Phase II Portion)",2017-03-20,2019-11-11,M.D. Anderson Cancer Center,OTHER
NCT03337061,A Trial of Mindfulness Meditation for Chronic Insomnia,A Trial of Mindfulness Meditation for Chronic Insomnia,WITHDRAWN,Study never started - halted by funder,NA,INTERVENTIONAL,0,Insomnia,,OTHER,"Change in Insomnia Severity (Insomnia Severity Index), Change in Actigraphy determined wake time (TWT)",2018-05-01,2018-08-01,Guy's and St Thomas' NHS Foundation Trust,OTHER
NCT04407442,"Daratumumab, Azacitidine, and Dexamethasone for Treatment of Patients With Recurrent or Refractory Multiple Myeloma Previously Treated With Daratumumab",Phase II Study of Daratumumab in Combination With Azacitidine and Dexamethasone in Relapsed/Refractory Multiple Myeloma Patients Previously Treated With Daratumumab,TERMINATED,Slow enrollment and change in sponsor direction,PHASE2,INTERVENTIONAL,5,"Recurrent Plasma Cell Myeloma, Refractory Plasma Cell Myeloma","Azacitidine, Daratumumab, Dexamethasone","DRUG, BIOLOGICAL, DRUG",Overall Response Rate (ORR),2020-11-30,2023-04-30,"University of California, San Francisco",OTHER
NCT03372941,Hospital Avoidance Strategies for ABSSSI,Hospital Avoidance Strategies for Treatment of Acute Bacterial Skin and Skin Structure Infection (ABSSSI),TERMINATED,Funding and recruitment limited by pandemic,PHASE4,INTERVENTIONAL,11,Skin Infection,Dalbavancin,DRUG,Healthcare Utilization Related to ABSSSI,2019-03-04,2021-10-14,Washington University School of Medicine,OTHER
NCT06895941,Predictive Value of PET/CT for Efficacy of Neoadjuvant Immunotherapy in Non-small Cell Lung Cancer,Predictive Value of PET/CT for Efficacy of Neoadjuvant Immunotherapy in Non-small Cell Lung Cancer,WITHDRAWN,Unable to support implementation.,,OBSERVATIONAL,0,"Lung Cancer (NSCLC), Neoadjuvant Immunotherapy",,DIAGNOSTIC_TEST,FAPI PET/CT predicts efficacy,2025-04-30,2027-04-01,"Shanghai Pulmonary Hospital, Shanghai, China",OTHER
NCT04860466,A Dose Finding Study of CC-96673 in Participants With Relapsed or Refractory Non-Hodgkin's Lymphoma,"A Phase 1, Multicenter, Open-label, Dose Finding Study of CC-96673 in Subjects With Relapsed or Refractory Non-Hodgkin's Lymphoma",TERMINATED,Business objectives have changed.,PHASE1,INTERVENTIONAL,9,"Lymphoma, Non-Hodgkin",CC-96673,DRUG,"Incidence of Adverse Events (AEs), Dose-limiting toxicity (DLT), Maximum tolerated dose (MTD)",2022-01-20,2024-07-31,Celgene,INDUSTRY
