nct_id,title,official_title,status,why_stopped,phase,study_type,enrollment,conditions,drug_names,intervention_types,primary_outcomes,start_date,completion_date,sponsor,sponsor_type
NCT05072535,A Study to Evaluate Relative Bioavailability and Food-Effect of HA121-28 Tablet B in Healthy Subjects,"A Single-dose, Randomized, Open-label, Two-period Crossover, Phase I Study to Evaluate Relative Bioavailability and Food-Effect of HA121-28 Tablet B in Healthy Subjects",COMPLETED,,PHASE1,INTERVENTIONAL,40,Healthy Subjects,"HA121-28 tablet B, HA121-28 tablet A","DRUG, DRUG","Pharmacokinetics (PK) of HA121-28 in plasma: Area under the concentration-time Curve (AUC) from the time of dosing extrapolated to time infinity (AUCinf)., Pharmacokinetics (PK) of HA121-28 in plasma: Area under the concentration-time curve (AUC) from the time of dosing to the last measurable concentration (AUClast)., Pharmacokinetics (PK) of HA121-28 in plasma: Maximum concentration (Cmax)",2021-10-08,2022-03-03,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",INDUSTRY
NCT05489835,"Work-Health-Life-Balance - Mental Resilience, Stability & Healthy Nutrition","Work-Health-Life-Balance 4.0 - Mental Resilience, Stability & Healthy Nutrition in a New Work Reality",UNKNOWN,,,OBSERVATIONAL,200,"Psychological Stress, Nutritional Quality, Burn-out Syndrome, Sleep, Depressive Disorder",,BEHAVIORAL,Stress,2023-01-11,2024-12-30,Medical University of Graz,OTHER
NCT01512108,Safety and Efficacy of Liraglutide in Combination With an OAD in Subjects With Type 2 Diabetes Insufficiently Controlled on OAD Alone,"A 52-week, Multi-centre, Open-labelled, Randomised (2:1), Parallel-group Trial With an Active Control (Two OADs Combination Therapy) to Evaluate the Safety and Efficacy of Liraglutide in Combination With an OAD in Subjects With Type 2 Diabetes Insufficiently Controlled on OAD Monotherapy",COMPLETED,,PHASE3,INTERVENTIONAL,363,"Diabetes, Diabetes Mellitus, Type 2","liraglutide, oral anti-diabetic drug","DRUG, DRUG",Incidence of Treatment Emergent Adverse Events (AEs),2012-01-10,2013-04-26,Novo Nordisk A/S,INDUSTRY
NCT07245108,The Pro-Chol Study,The ProChol Study - Prospective Assessment of Symptoms Following Cholecystectomy in Patients With Symptomatic Uncomplicated Gallstones,RECRUITING,,,OBSERVATIONAL,800,"Gallstones, Gallstone Attack, Uncomplicated Cholelithiasis, Cholecystolithiasis",,"PROCEDURE, PROCEDURE",Prediction model for resolution of pain,2024-01-22,2027-04,Nordsjaellands Hospital,OTHER
NCT07068308,Effects of a Wed-based FRAIL-SM Program Among Patients With Heart Failure,Development and Effectiveness of a Wed-based FRAIL-SM Program Among Patients With Heart Failure,NOT_YET_RECRUITING,,NA,INTERVENTIONAL,328,Heart Failure,,BEHAVIORAL,"Changes in Frailty Assessment Scale for Heart Failure scores, Changes in Dutch Heart Failure Knowledge Scale scores, Changes in Self-Care of Heart Failure Index scores, Changes in Minnesota Living with Heart Failure questionnaire scores",2026-01-01,2027-07-31,National Yang Ming Chiao Tung University,OTHER
NCT03082508,A Pivotal Trial to Establish the Efficacy and Safety of Algisyl in Patients With Moderate to Severe Heart Failure,A Pivotal Trial to Establish the Efficacy and Safety of Algisyl in Patients With Moderate to Severe Heart Failure,UNKNOWN,,NA,INTERVENTIONAL,240,"Heart Failure, Dilated Cardiomyopathy, Heart Failure With Reduced Ejection Fraction",Standard Medical Therapy,"DEVICE, DRUG","Peak VO2, Primary Safety Endpoint: Death or Re-hospitalization for Worsening Heart Failure",2017-08,2024-01,"LoneStar Heart, Inc.",INDUSTRY
NCT03014908,Metabolic Profiling of Type 1 Diabetes Mellitus in Children and Adolescents,Metabolic Profiling of Type 1 Diabetes Mellitus in Children and Adolescents: a Case-control Study,COMPLETED,,,OBSERVATIONAL,14,Type1diabetes,,OTHER,Metabolic phenotype of type 1 diabetes mellitus,2014-01,2014-12,Hasselt University,OTHER
NCT05780008,Eat My ABCs Project,Eat My ABCs: Integrate Healthy Eating Into School Readiness,COMPLETED,,"PHASE2, PHASE3",INTERVENTIONAL,202,"Nutrition, Healthy, Obesity, Childhood",,BEHAVIORAL,"Child's BMI, Percent body fat, Skin carotenoids",2023-01-01,2024-05-10,Michigan State University,OTHER
NCT03858608,Weight Loss for Uncontrolled Asthma Associated With Elevated BMI,"A Pragmatic, Randomised, Controlled, Trial of the Effect of the Counterweight Plus Weight Management Programme in Uncontrolled Asthma Associated With Elevated Body Mass Index",UNKNOWN,,NA,INTERVENTIONAL,40,"Asthma, Obesity",,"DIETARY_SUPPLEMENT, OTHER",Asthma Control overall change,2019-08-12,2023-08,NHS Greater Glasgow and Clyde,OTHER
NCT04101708,A Comparison of High-dose Dual Therapy and Half-dose Clarithromycin-containing Bismuth Quadruple Therapy for H.P Eradication in Elderly Patients,A Comparison of High-dose Dual Therapy and Half-dose Clarithromycin-containing Bismuth Quadruple Therapy for H.P Eradication in Elderly Patients,UNKNOWN,,PHASE4,INTERVENTIONAL,100,Helicobacter Pylori,"Lansoprazole, Amoxicillin, Lansoprazole, Amoxicillin,Clarithromycin and Bismuth subcitrate","DRUG, DRUG",eradication rate of the two groups,2019-09-20,2022-09-20,Shandong University,OTHER
NCT06721208,Mobile App Use for Physical Activity in Knee Osteoarthritis,"Development of a Mobile APP to Promote Physical Activity in Individuals with Knee Osteoarthritis: a ""Move for Knee"" Study Protocol",NOT_YET_RECRUITING,,NA,INTERVENTIONAL,150,Knee Osteoarthristis,,BEHAVIORAL,"Brief Pain Inventory (BPI) and its two indexes (severity and interference indexes; BPI-SI, BPI-II)",2025-05-02,2026-12-02,University of Campania Luigi Vanvitelli,OTHER
NCT00736008,Thrombophilic Risk Factors in Pediatric Patients Diagnosed at the Ha'Emek Medical Center,The Study Will Summarize the Clinical and Laboratory Data of All the Pediatric Patients Diagnosed With Thrombotic Events at the Pediatric Hematology Unit,COMPLETED,,,OBSERVATIONAL,100,Thrombosis,,OTHER,,2008-05,2009-08,"HaEmek Medical Center, Israel",OTHER
NCT04678908,A Study of Injection HB0025 in Patients With Advanced Solid Tumors,"A Phase 1, Multicenter, Open-label, Dose-escalation and Dose-expansion Study of the Safety and Pharmacokinetics of HB0025 in Patients With Advanced Solid Tumors",UNKNOWN,,PHASE1,INTERVENTIONAL,154,"Tumor, Subjects",HB0025,DRUG,"Safety assessment in dose-escalation phase, Safety assessment in dose-escalation phase, Efficacy assessment in dose-expansion phase",2021-03-10,2024-05-23,"Huabo Biopharm Co., Ltd.",INDUSTRY
NCT04389008,The Study of Anesthesia-related Risk Factors for Postoperative Death in Elderly Non-cardiac Surgery Patients in China,The Study of Anesthesia-related Risk Factors for Postoperative Death in Elderly Non-cardiac Surgery Patients in China: a Multi-center Retrospective Study Based on Database,UNKNOWN,,,OBSERVATIONAL,300000,"Postoperative Mortality, Anesthesia, Elderly Patients, Noncardiac Surgery",,OTHER,Whether death occurred during hospitalization after surgery,2020-05-31,2021-12-31,Chinese PLA General Hospital,OTHER
NCT04886908,Comparative Retrospective Analysis of Skin Tumors of the Eyelids and Face in 2 Brussels University Hospitals Over 5 Years in Dermatology or Ophthalmology,Comparative Retrospective Analysis of Skin Tumors of the Eyelids and Face in 2 Brussels University Hospitals Over 5 Years in Dermatology or Ophthalmology,COMPLETED,,,OBSERVATIONAL,373,Skin Cancer,,OTHER,"Age, Sex, Name of the department in which the patient is followed, Tumor anatomical location, Tumor size, Laterality, Multiple or single tumor, Primitive tumor or recidive, Risk factor: phototype, Risk factor: immunosuppression (yes/no), Risk factor: keratosis, Risk factor: solar exposition (yes/no), Diagnosis, Locoregional extension report (yes/no), Histological diagnosis of the tumor, Healthy or invaded margins, Superficial or infiltrating tumor, Diagnostic method, Surgical management method",2021-02-09,2021-07-28,Brugmann University Hospital,OTHER
NCT00953108,"Quetiapine Prolong, Escitalopram and Hypothalamic-pituitary-adrenocortical (HPA) Axis Activity in Depressed Patients",Impact of Quetiapine Prolong and Escitalopram on the Hypothalamic-pituitary-adrenocortical (HPA)-Axis Activity in Depressed Patients,COMPLETED,,PHASE3,INTERVENTIONAL,60,Major Depression,"quetiapine, escitalopram","DRUG, DRUG",serial dexamethasone/CRH tests,2009-09,2012-02,Ludwig-Maximilians - University of Munich,OTHER
NCT03601208,Mitra v Fingerprick Tacrolimus Creatinine,Comparison of Standard Venous Sampling for Measurement of Tacrolimus and Creatinine Versus Fingerprick Mitra® Volumetric Absorptive Microsampling in Adult Renal Transplant Recipients,UNKNOWN,,NA,INTERVENTIONAL,100,"Transplant;Failure,Kidney",,DIAGNOSTIC_TEST,Comparison of creatinine and tacrolimus values for Mitra VAM (test) versus venous sampling (standard).,2018-08,2019-01,Nottingham University Hospitals NHS Trust,OTHER
NCT00082108,Myotonic Dystrophy and Facioscapulohumeral Muscular Dystrophy Registry,National Registry of Myotonic Dystrophy and Facioscapulohumeral Muscular Dystrophy Patients and Family Members,RECRUITING,,,OBSERVATIONAL,3000,"Myotonic Dystrophy, Facioscapulohumeral Muscular Dystrophy, Muscular Dystrophy, Myotonic Dystrophy Type 1, Myotonic Dystrophy Type 2, Congenital Myotonic Dystrophy, PROMM (Proximal Myotonic Myopathy), Steinert's Disease, Myotonic Muscular Dystrophy",,,Patient reported outcomes,2000-09,2028-06,University of Rochester,OTHER
NCT02104908,Study of Nerve Block Anesthesia for Surgery of Hip Fracture in the Elderly,"Target-controlled Propofol Infusion as a Technique of Anesthesia for Surgery of Hip Fracture Under Ultrasound Guidance Lumbar and Sacral Plexus Block or Lumbar, Sacral and Paravertebral Nerve Block in the Elderly",UNKNOWN,,PHASE4,INTERVENTIONAL,80,Anesthesia; Reaction,,"PROCEDURE, PROCEDURE",cumulative propofol dose,2014-03,2014-12,Shanghai Jiao Tong University Affiliated Sixth People's Hospital,OTHER
NCT05855408,Effectiveness of a Second COVID-19 Vaccine Booster in Chinese Adults,"Effectiveness of a Second COVID-19 Vaccine Booster in Chinese Adults Aged 18 Years or Above: a Multicenter, Parallel Groups, Partially Randomized, Open-label, Blank-controlled Adaptive Platform Trial",UNKNOWN,,PHASE4,INTERVENTIONAL,10000,COVID-19,"Intramuscularly administered Ad5-nCoV vaccine, Aerosolized Ad5-nCoV, DelNS1-2019-nCoV-RBD-OPT1, SYS6006","BIOLOGICAL, BIOLOGICAL, BIOLOGICAL, BIOLOGICAL",The incidence of COVID-19 from 14 days to 6 months after the booster immunization.,2023-05-18,2024-12-31,Jiangsu Province Centers for Disease Control and Prevention,NETWORK
NCT03220308,Mindfulness Training for Children With Attention-Deficit/Hyperactivity Disorder (ADHD) and Mindful Parenting,Mindfulness Training for Children With ADHD and Mindful Parenting,COMPLETED,,NA,INTERVENTIONAL,103,Attention Deficit Hyperactivity Disorder,,"OTHER, OTHER",Change from Baseline in parent-rated self-control of the child,2016-02-18,2019-02-22,Karakter Kinder- en Jeugdpsychiatrie,OTHER
NCT03668808,Comparison of Insulin Degludec With Insulin Glargine U100 for Adults With Type 1 Diabetes Crossing Multiple Time Zones.,Comparison of Insulin Degludec With Insulin Glargine U100 for Adults With Type 1 Diabetes Travelling Across Multiple Time Zones. A Pilot Study.,COMPLETED,,PHASE4,INTERVENTIONAL,25,"Diabetes Mellitus, Type 1","Insulin Degludec, Insulin Glargine","DRUG, DRUG, DEVICE, DEVICE",Continuous Glucose Monitoring - Time in Range (70-140 mg/dl),2018-11-16,2020-09-19,Sansum Diabetes Research Institute,OTHER
NCT04477408,Effect of Plantar Sensory Exercises on Balance and Fall Risk in Nursing Home Elderly,Effect of Plantar Sensory Exercises on Balance and Fall Risk in Nursing Home Elderly,COMPLETED,,NA,INTERVENTIONAL,20,"Balance; Distorted, Plantar, Falling, Elderly, Sensitivity",,OTHER,"Biodex Balance System - Static Balance, Biodex Balance System - Static Balance, Biodex Balance System - Static Balance, Biodex Balance System - Fall Risk, Biodex Balance System - Fall Risk, Biodex Balance System - Fall Risk",2019-05-01,2020-04-01,Istanbul Medipol University Hospital,OTHER
NCT05690308,Visual Perturbation Training to Reduce Fall Risk in People with Parkinson's Disease,A Novel Training Method to Reduce Fall Risk in People with Parkinson's Disease: the Role of the Balance Organ,COMPLETED,,NA,INTERVENTIONAL,35,"Parkinson Disease, Vestibular Disorder, Gait, Falling",,"OTHER, OTHER","Change from baseline in gait speed after 6 weeks training, Change from baseline in cadence after 6 weeks training, Change from baseline in stride time after 6 weeks training, Change from baseline in step length after 6 weeks training, Change from baseline in step width after 6 weeks training, Change from baseline in trunk sway after 6 weeks training",2022-12-20,2024-05-13,"University Hospital, Ghent",OTHER
NCT00855608,"Intravitreal Adalimumab in Refractory Diabetic Retinopathy, Choroidal Neovascularization or Uveitis: A Pilot Study",The Safety and Tolerability of Intravitreal Adalimumab in Patients With Refractory Diabetic Macular Retinopathy or Choroidal Neovascularization or Uveitis: A Pilot Study,UNKNOWN,,PHASE1,INTERVENTIONAL,15,"Uveitis, Diabetic Retinopathy, Choroidal Neovascularization",adalimumab,DRUG,The main outcome measure will be visual acuity improvement (3 lines),2009-03,2013-03,Rafic Hariri University Hospital,OTHER
NCT06290908,RPE-P/TLIF for Lumbar Spinal Stenosis With Instability,Robot-assisted Percutaneous Endoscopic Posterior/Transforaminal Lumbar Interbody Fusion for Lumbar Spinal Stenosis With Instability,COMPLETED,,,OBSERVATIONAL,26,Spinal Stenosis,,PROCEDURE,Pain visual analog scale (VAS),2018-09-04,2024-02-01,Wen-xi Sun,OTHER
NCT01521208,LUCAS Chest Compressor Versus Manual Chest Compression in Out-of-hospital Sudden Cardiac Arrest. LUCAT Trial,LUcas Continuous Chest Compressions in Out-of-hospital Cardiac Arrest Treatment. The LUCAT Trial,UNKNOWN,,PHASE3,INTERVENTIONAL,400,Sudden Cardiac Arrest,,"DEVICE, OTHER","Survival at hospital admittance, Survival on discharge from hospital (or 30 days if not applicable) in acceptable neurological state (CPC scale 1 or 2)",2012-01,2014-04,Sistema d'Emergències Mèdiques,OTHER_GOV
NCT06547008,Army-SPRING Army-Suicide Prevention Research,Army-Suicide Prevention Research on Implementation in the National Guard (Army-SPRING),RECRUITING,,PHASE1,INTERVENTIONAL,57,Suicide,,"BEHAVIORAL, BEHAVIORAL","Reach - Self, Reach - Intervening for others, Reach - Interactions with soldiers involving discussions about suicide risk",2025-03-19,2028-08,University of Pennsylvania,OTHER
NCT01146808,Adefovir Plus Vaccination in Transplant Patients Without Hepatitis B That Receive a Core Antibody Positive Liver,Prevention of de Novo Hepatitis B Infection With Adefovir Dipivoxil (ADV) and Hepatitis B Vaccination in HBsAg Seronegative Recipients of Liver Grafts From Hepatitis B Core Antibody Positive (HBcAb+) Donors,COMPLETED,,"PHASE1, PHASE2",INTERVENTIONAL,16,"Hepatitis B, Liver Transplantation",Adefovir dipivoxil and hepatitis B vaccination,DRUG,Development of de Novo Hepatitis B Infection After Transplant With a Core Antibody Positive Liver,2006-03,2012-09,Columbia University,OTHER
NCT04686708,COVID-19 Pandemic and General Surgery Emergencies,Impact of the COVID-19 Pandemic on Emergency General Surgery Outcomes: a Single-center Cohort Study,COMPLETED,,,OBSERVATIONAL,750,Emergencies,,OTHER,Incidence of general surgical emergencies,2019-03-11,2020-09-11,Gulhane Training and Research Hospital,OTHER_GOV
NCT05702008,"Social Media as an Information, Education and Communication Tool for Rabies Prevention: An Interventional Study","Social Media as an Information, Education and Communication Tool for Rabies Prevention: An Interventional Study",COMPLETED,,NA,INTERVENTIONAL,300,"Rabies, Health Education, Public Health, Preventive Health Services",,OTHER,To measure the impact of a social media-based dissemination strategy on information dissemination and retention for rabies IEC material among preclinical medical students,2022-07-01,2022-09-01,Maulana Azad Medical College,OTHER
NCT05451225,Survey of Correction Officers Before and After a Targeted Education Campaign,Reducing Duration of Untreated Psychosis Through Early Detection in a Large Jail System - Surveys of Correction Officers,COMPLETED,,NA,INTERVENTIONAL,451,Work-Related Condition,,BEHAVIORAL,"Correction Officers' Knowledge at Baseline, Correction Officers' Knowledge at 6 Months, Correction Officers' Knowledge at 12 Months, Correction Officers' Behavioral Expectations at Baseline, Correction Officers' Behavioral Expectations at 6 Months, Correction Officers' Behavioral Expectations at 12 Months, Correction Officers' Self-Efficacy at Baseline, Correction Officers' Self-Efficacy at 6 Months, Correction Officers' Self-Efficacy at 12 Months",2020-01-08,2022-03-05,Columbia University,OTHER
NCT04833725,Screening and Early Warning of Chronic Obstructive Pulmonary Disease Combined With Sleep Respiratory Disease Based on Medical Internet of Things,Screening and Early Warning of Chronic Obstructive Pulmonary Disease Combined With Sleep Respiratory Disease Based on Medical Internet of Things,UNKNOWN,,,OBSERVATIONAL,680,"COPD, Osa Syndrome",,DEVICE,"Build the screening model of COPD combined with OSA - 12 months, Build the prognosis model of COPD combined with OSA - 12 months",2020-01-01,2022-12-31,Peking University Third Hospital,OTHER
