drug_name,source,status,cid,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchi_key,adverse_reactions,failure_reason
ACETAMINOPHEN,openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,"Disease progression; Neurological decompensation, Disease progression; Muscular weakness, Paraesthesia; Mental status changes; Flatulence, Abdominal distension",
ACETAMINOPHEN (RED),openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
"ACETAMINOPHEN , DIPHENHYDRAMINE HCL,PHENYLEPHRINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN 325 MG, DIPHENHYDRAMINE HCL 12.5 MG, PHENYLEPHRINE HCL 5 MG",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN 500 MG, TABLET",openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
ACETAMINOPHEN 500MG/ DIPHENHYDRAMINE HCL 25MG,openfda_labels,approved,,,,,,,,,
ACETAMINOPHEN AND ASPRIN,openfda_labels,approved,,,,,,,,,
ACETAMINOPHEN AND CHLORPHENIRAMINE MALEATE,openfda_labels,approved,,,,,,,,,
ACETAMINOPHEN AND CODEINE PHOSPHATE,openfda_labels,approved,,,548.5,CC(=O)NC1=CC=C(C=C1)O.CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O.OP(=O)(O)O,,,,,
ACETAMINOPHEN AND DIPHENHYDRAMINE HCL,openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
ACETAMINOPHEN AND DIPHENHYDRAMINE HYDROCHLORIDE,openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
ACETAMINOPHEN AND IBUPROFEN,openfda_labels,approved,,,357.4,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(=O)NC1=CC=C(C=C1)O,,,,,
ACETAMINOPHEN DEXTROMETHORPHAN HBR,openfda_labels,approved,,,,,,,,,
ACETAMINOPHEN DEXTROMETHORPHAN HBR DOXYLAMINE SUCCINATE,openfda_labels,approved,,,,,,,,,
ACETAMINOPHEN GUAIFENESEIN PHENYLEPHRINE HCL,openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
ACETAMINOPHEN PM,openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",openfda_labels,approved,,,525.5,CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C,,,,,
"ACETAMINOPHEN, ASPIRIN, AND CAFFEINE",openfda_labels,approved,,,525.5,CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C,,,,,
"ACETAMINOPHEN, ASPIRIN, CAFFEINE",openfda_labels,approved,,,525.5,CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C,,,,,
"ACETAMINOPHEN, ASPIRIN, CAFFEINE TABLET",openfda_labels,approved,,,525.5,CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C,,,,,
"ACETAMINOPHEN, CAFFEINE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, CAFFEINE, PYRILAMINE MALEATE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL,",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR, PSEUDOEPHEDRINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, PHENYLEPHRINE HYDROCHLORIDE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, AND ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, CHLORPHENIRAMINE MALEATE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL TABLET",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL, ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL, TRIPROLIDINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCI",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL, TRIPROLIDINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, TRIPROLIDINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR,GUAIFENESIN,/ ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HYDROCHLORIDE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, AND PHENYLEPHRINE HYDROCHLORIDE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE, DOXYLAMINE SUCCINATE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE, AND DOXYLAMINE SUCCINATE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE, AND TRIPROLIDINE HYDROCHLORIDE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DEXTROMETHROPHAN, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DIPHENHYDRAMINE",openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
"ACETAMINOPHEN, DIPHENHYDRAMINE HCL",openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
"ACETAMINOPHEN, DIPHENHYDRAMINE HCL, PHENYLEPHRINE HCL",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, DIPHENHYDRAMINE HYDROCHLORIDE",openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
"ACETAMINOPHEN, DIPHENHYDRAMINE HYDROCHLORIDE, AND PHENYLEPHRINE HYDROCHLORIDE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, GUAIFENESIN, AND PHENYLEPHRINE HYDROCHLORIDE",openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
"ACETAMINOPHEN, GUAIFENESIN, PHENYLEPHRINE HCL CAPLET, FILM-COATED",openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
"ACETAMINOPHEN, IBUPROFEN",openfda_labels,approved,,,357.4,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(=O)NC1=CC=C(C=C1)O,,,,,
"ACETAMINOPHEN, PHENYLEPHRINE, DEXTROMETHORPHAN HBR, GUAIFENESIN TABLET, FILM COATED",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN, PYRILAMINE MALEATE, CAFFEINE",openfda_labels,approved,,,,,,,,,
"ACETAMINOPHEN,CAFFEINE",openfda_labels,approved,,,,,,,,,
ACETAZOLAMIDE,openfda_labels,approved,,,222.3,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,,,,"Addison^s disease, Renal failure, Adrenal insufficiency, Asthenia, Fatigue, Hypotension, Alopecia; Dyspepsia; Stevens-Johnson syndrome, Dermatitis exfoliative, Stomatitis, Eosinophilia, Blood creatinine increased, Pyrexia, Transaminases increased; Skin discolouration, Unevaluable event",
"ACETYLCHOLINE CHLORIDE,",openfda_labels,approved,,,181.66,CC(=O)OCC[N+](C)(C)C.[Cl-],,,,,
ACHILLEA MILLEFOLIUM,openfda_labels,approved,,,,,,,,,
ACIDUM SULPHURICUM,openfda_labels,approved,,,98.08,OS(=O)(=O)O,,,,,
ACITRETIN,openfda_labels,approved,,,326.4,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,,,,"Periarthritis, Joint range of motion decreased, Oedema, Synovitis; Syncope; Arthralgia, Skin plaque, Rash, Induration, Local swelling, Granuloma annulare, Liver function test abnormal, Erythema; Granuloma annulare, Local swelling, Arthralgia, Skin plaque, Rash, Erythema, Induration, Liver function test abnormal",
ACNE LOTION,openfda_labels,approved,,,242.23,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,,,,,
ACNE SPOT TREATMENT,openfda_labels,approved,,,138.12,C1=CC=C(C(=C1)C(=O)O)O,,,,,
"ACONITUM NAP, ALFALFA, AVENA, CHAMOMILLA, GELSEMIUM, HUMULUS IUPULUS, IGNATIA, KALI ARS, KALI PHOS, MURIATICUM AC, NAT PHOS, PASSIFLORA, PHOSPHORUS, STAPHYSAGRIA, STRAMONIUM",openfda_labels,approved,,,,,,,,,
ACONITUM NAPELLUS - ARSENIC TRIOXIDE - BRYONIA ALBA ROOT - PULSATILLA VULGARIS - STRYCHNOS NUX-VOMICA SEED,openfda_labels,approved,,,,,,,,,
"ACONITUM NAPELLUS, ANAS BARBARIAE, HEPATIS ET CORDIS EXTRACTUM, BRYONIA (ALBA), EUPATORIUM PERFOLIATUM, GELSEMIUM SEMPERVIRENS, INFLUENZINUM, IPECACUANHA, NUX VOMICA, PHOSPHORUS, PHYTOLACCA DECANDRA, SANGUINARIA CANADENSIS, STICTA PULMONARIA",openfda_labels,approved,,,,,,,,,
"ACONITUM NAPELLUS, ARALIA QUINQUEFOLIA, CHININUM ARSENICOSUM, COFFEA CRUDA, COLCHICUM AUTUMNALE, CRATAEGUS OXYACANTHA FRUIT, ECHINACEA PURPUREA, ESCHSCHOLTZIA CALIFORNICA, HUMULUS LUPULUS, IGNATIA AMARA, LYCOPUS VIRGINICUS, NUX VOMICA, PASSIFLORA INCARNATA, SCUTELLARIA LATERIFLORA, STRYCHNINUM PHOSPHORICUM, THYROIDINUM, VISCUM ALBUM FRUITING TOP, YELLOW JASMINE ROOT",openfda_labels,approved,,,,,,,,,
"ACONITUM NAPELLUS, ARGENTUM NITRICUM, ARNICA MONTANA, ARSENICUM ALBUM, ASTRAGALUS MEMBRANACEUS, BAPTISIA TINCTORIA, BRYONIA (ALBA), CALENDULA OFFICINALIS, CORTISONE ACETICUM, ECHINACEA (ANGUSTIFOLIA), EUPATORIUM PERFOLIATUM, EUPHORBIUM OFFICINARUM, GELSEMIUM SEMPERVIRENS, HEPAR SULPHURIS CALCAREUM, INFLUENZINUM (2023-2024), LACHESIS MUTUS, MERCURIUS CORROSIVUS, PHOSPHORUS, PHYTOLACCA DECANDRA, PULSATILLA (PRATENSIS), PYROGENIUM, RHUS TOX, SANGUINARIA CANADENSIS, SPLEEN (SUIS), SULPHUR, THUJA OCCIDENTALIS,",openfda_labels,approved,,,,,,,,,
"ACONITUM NAPELLUS, ARSENIC TRIOXIDE, ATROPA BELLADONNA, OYSTER SHELL CALCIUM CARBONATE, CRUDE, ACTIVATED CHARCOAL, HUMAN BREAST TUMOR CELL, CAUSTICUM, GELSEMIUM SEMPERVIRENS ROOT, LACHESIS MUTA VENOM, MERCURY, SODIUM CHLORIDE, NITRIC ACID, PHOSPHORUS, TOXICODENDRON PUBESCENS LEAF",openfda_labels,approved,,,,,,,,,
"ACONITUM NAPELLUS, BRYONIA ROOT, CALCIUM CATION, SPONGIA OFFICINALIS SKELETON, ROASTED, TIN, MEDICAGO SATIVA LEAF, OAT, ARABICA COFFEE BEAN",openfda_labels,approved,,,,,,,,,
"ACONITUM, ARSENICUM ALB, CALC CARB, COFFEA CRUDA, MAGNESIUM MET, NUX VOM, PULSATILLA, SEPIA, SULPHUR",openfda_labels,approved,,,,,,,,,
ACT Total Care Dry Mouth Anticavity Mouth,openfda_labels,approved,,,41.9881724,[F-].[Na+],,,,,
"ACTEAMINOPHEN, GUAIFENESIN, PHENYLEPHRINE HCL",openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
ACTIDOM DMX,openfda_labels,approved,,,,,,,,,
"ACTIVATED CHARCOAL, MATRICARIA CHAMOMILLA, COPPER, CITRULLUS COLOCYNTHIS FRUIT PULP",openfda_labels,approved,,,,,,,,,
ACYCLOVIR,openfda_labels,approved,,,225.20,C1=NC2=C(N1COCCO)N=C(NC2=O)N,,,,"Pneumonia, Cytomegalovirus infection, Cystitis haemorrhagic, Acute graft versus host disease; Pulmonary alveolar haemorrhage, Graft versus host disease, Cystitis haemorrhagic, Adenovirus infection, BK virus infection; Mental status changes; Neuropathy peripheral, Arthralgia; Diplopia",
ADALIMUMAB-AACF,openfda_labels,approved,,,,,,,,,
ADAPALENE,openfda_labels,approved,,,412.5,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,,,,,
ADAPALENE AND BENZOYL PEROXIDE,openfda_labels,approved,,,,,,,,,
"ADAPALENE AND BENZOYL PEROXIDE GEL, 0.1%/2.5%",openfda_labels,approved,,,,,,,,,
ADEFOVIR DIPIVOXIL,openfda_labels,approved,,,501.5,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,,,,,
"ADENOSINE, NIACINAMIDE",openfda_labels,approved,,,,,,,,,
ADMELOG,openfda_labels,approved,,,5814,CCC(C)C(C(=O)NC(C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CS)C(=O)NC(CS)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(CS)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(=O)N)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)O)NC(=O)CN.CC(C)CC(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CS)C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC2=CC=CC=C2)C(=O)NC(CC3=CC=CC=C3)C(=O)NC(CC4=CC=C(C=C4)O)C(=O)NC(C(C)O)C(=O)NC(CCCCN)C(=O)N5CCCC5C(=O)NC(C(C)O)C(=O)O)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC6=CN=CN6)NC(=O)C(CO)NC(=O)CNC(=O)C(CS)NC(=O)C(CC(C)C)NC(=O)C(CC7=CN=CN7)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CC8=CC=CC=C8)N,,,,,
ADRENAL LIQUESCENCE,openfda_labels,approved,,,,,,,,,
"ADRENALINUM, AGNUS CASTUS, ALOE, AMBRA GRISEA, AURUM MURIATICUM NATRONATUM, BARYTA CARBONICA, CALCAREA IODATA, CANDIDA ALBICANS, CEREBRUM SUIS, CINCHONA OFFICINALIS, DIGITALIS PURPUREA, HYPOTHALAMUS SUIS, IGNATIA AMARA, LAC DEFLORATUM, LYCOPODIUM CLAVATUM, NATRUM MURIATICUM, RHUS GLABRA, SACCHARUM OFFICINALE, SEROTONIN (HYDROCHLORIDE), STAPHYSAGRIA, THUJA OCCIDENTALIS",openfda_labels,approved,,,,,,,,,
ADVANCED ADVENTURE 72H ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,97.46,O.[OH-].[Al+3].[Cl-],,,,,
ADVANCED CARE ACAI BERRY AND LOTUS FLOWER DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,97.46,O.[OH-].[Al+3].[Cl-],,,,,
ADVANCED CARE APPLE AND WHITE TEA ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,,,,,,,
ADVANCED CARE APPLE AND WHITE TEA DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,97.46,O.[OH-].[Al+3].[Cl-],,,,,
ADVANCED CARE BEAUTY FINISH DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,97.46,O.[OH-].[Al+3].[Cl-],,,,,
ADVANCED CARE CARING COCONUT ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,,,,,,,
ADVANCED CARE CARING COCONUT DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,97.46,O.[OH-].[Al+3].[Cl-],,,,,
ADVANCED CARE CLEAR MINERALS DRY SPRAY 48H ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,192.47,O.[OH-].[OH-].[OH-].[OH-].[OH-].[Al+3].[Al+3].[Cl-],,,,,
ADVANCED CARE COOL ESSENTIALS ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,,,,,,,
ADVANCED CARE COOL ESSENTIALS DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,97.46,O.[OH-].[Al+3].[Cl-],,,,,
ADVANCED CARE CUCUMBER AND CACTUS WATER ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,,,,,,,
ADVANCED CARE INVISIBLE CLEAR FINISH DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,openfda_labels,approved,,,97.46,O.[OH-].[Al+3].[Cl-],,,,,
