product_ndc,generic_name,brand_name,labeler_name,active_ingredients,dosage_form,route,product_type,marketing_category,application_number
83324-041,Clotrimazole,Clotrimazole 1%,Chain Drug Marketing Association Inc.,CLOTRIMAZOLE (1 g/100g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M005
83703-550,cyclophosphamide,CYCLOPHOSPHAMIDE,Bamboo US Bidco LCC,CYCLOPHOSPHAMIDE (1 g/50mL),"INJECTION, POWDER, FOR SOLUTION","INTRAVENOUS, ORAL",HUMAN PRESCRIPTION DRUG,ANDA,ANDA040745
83324-331,"Acetaminophen, Aspirin, Caffeine",Headache Relief,"Chain Drug Marketing Association, Inc.",ACETAMINOPHEN (250 mg/1); ASPIRIN (250 mg/1); CAFFEINE (65 mg/1),"TABLET, FILM COATED",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M013
83591-416,MENTHOL,EMU THERAPY Cool Menthol Therapy Pain Relief Cream,ACA MANAGEMENT LLC,MENTHOL (27.5 mg/mL),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
83887-006,Nail repair pen liquid,NEOMEN Nail Repair Pen,"Changsha Beiliang E-commerce Co., Ltd",UNDECYLENIC ACID (10 g/100mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M005
84010-104,"Clotrimazole1%, Miconazole1% Clotrimazole",NATUHEAL Clotrimazole,"Jiangxi Hemei Pharmaceutical Co., Ltd",CLOTRIMAZOLE (1 g/100g); MICONAZOLE (1 g/100g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M005
84066-102,"Zinc Oxide, Titanium Dioxide",TINTED FACIAL SUNSCREEN,"Guangzhou Tata Biotechnology Co., Ltd.",TITANIUM DIOXIDE (5.6 mg/100mL); ZINC OXIDE (11 mg/100mL),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
84126-193,Aluminum chlorohydrate,Secret Weightless Dry Cool Waterlily,The Procter & Gamble Manufacturing Company,ALUMINUM CHLOROHYDRATE (24.5 g/100g),"AEROSOL, SPRAY",TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M019
84219-002,"BENZALKONIUM CHLORIDE, LIDOCAINE HYDROCHLORIDE",First Aid Antiseptic Pain Relieving Benzalkonium Chloride Lidocaine Hydrochloride,"M-star (Hubei) Health&Care Products Co., Ltd.",BENZALKONIUM CHLORIDE (1.3 mg/g); LIDOCAINE HYDROCHLORIDE (5 mg/g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
84423-071,COLLAGE SERUM,COLLAGE SERUM,"Guangzhou Kadiya Biotechnology Co., Ltd.",ALPHA-ARBUTIN (1.44 g/120mL),"SOLUTION, CONCENTRATE",CUTANEOUS,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M016
84549-093,Phenytoin Sodium,Phenytoin Sodium,ProPharma Distribution,PHENYTOIN SODIUM (50 mg/mL),INJECTION,"INTRAMUSCULAR, INTRAVENOUS",HUMAN PRESCRIPTION DRUG,ANDA,ANDA084307
84720-007,nicotine polacrilex,quitine nicotine,QUITINE LLC,NICOTINE (4 mg/1),LOZENGE,ORAL,HUMAN OTC DRUG,ANDA,ANDA077007
84938-007,"Zinc Oxide 12%,Titanium Dioxide 8%, Homosalate 12%, Octisalate4.5%,Phenylbenzimidazole Sulfonic Acid 3.5%",Sunscreen Cream,"Foshan Sugar Max Cosmetics CO.,Ltd",HOMOSALATE (.12 g/mL); OCTISALATE (.045 g/mL); PHENYLBENZIMIDAZOLE SULFONIC ACID (.035 g/mL); TITANIUM DIOXIDE (.08 g/mL); ZINC OXIDE (.12 g/mL),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
85095-200,"Adeps suillus, Andrenalinum, Adrenocorticotrophin, Calcarea carbonica, Chelidonium, Pituitarum, Thyroidinum",Thinnr BOOST,"SLIMCELL, LLC","ADEPS SUILLUS (8 [hp_X]/mL); CHELIDONIUM MAJUS (8 [hp_X]/mL); CORTICOTROPIN (8 [hp_X]/mL); EPINEPHRINE (8 [hp_X]/mL); OYSTER SHELL CALCIUM CARBONATE, CRUDE (8 [hp_X]/mL); SUS SCROFA PITUITARY GLAND, POSTERIOR (8 [hp_X]/mL); THYROID (8 [hp_X]/mL)",LIQUID,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
85509-1406,Diclofenac Sodium,Diclofenac Sodium,PHOENIX RX LLC,DICLOFENAC SODIUM (20 mg/g),SOLUTION,TOPICAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA207714
85231-200,Lidocaine HCl,LidoGuard,"ViolaCare, Inc.",LIDOCAINE HYDROCHLORIDE (4 g/100g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
85331-203,"Titanium Dioxide, Zinc Oxide",Tinted Sunscreen,Scottsdale Skin Boutique and Dermatology Pllc,TITANIUM DIOXIDE (80 mg/g); ZINC OXIDE (38 mg/g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
85415-226,Zinc Oxide,SPF 101 Non-Tinted,The Acne Lab LLC,ZINC OXIDE (160 mg/g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
85599-205,Zinc Oxide,Instant Glow,CLEAN BEAUTY BY ANAK LLC,ZINC OXIDE (200 mg/g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
0703-4246,Carboplatin,Carboplatin,"Teva Parenteral Medicines, Inc.",CARBOPLATIN (10 mg/mL),"INJECTION, SOLUTION",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA077269
85816-1025,Alum,BM Alum (Kali Alum Sulph),BM Private Limited,POTASSIUM ALUM (6 [hp_X]/60mg),TABLET,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
0713-0633,Metronidazole,Metronidazole,"Cosette Pharmaceuticals, Inc.",METRONIDAZOLE (7.5 mg/g),CREAM,TOPICAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA077549
87066-5915,Estriol Cream,MYEVER,"Hubei Redrui Building Materials Co., Ltd.",ESTRIOL (.2 g/100g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M016
87302-202,ETHYL ALCOHOL,FRESH FEELS HAND SANITIZER MIST SEASHELL SUNSHINE SCENT,Amber Glow Cosmetics Limited,ALCOHOL (70 mL/100mL),SPRAY,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,505G(a)(3)
98132-426,ZINC OXIDE,bareMinerals BAREPRO 24HR Wear Skin-Perfecting Matte Liquid Foundation Medium Deep 43 Neutral,Orveon Global US LLC,ZINC OXIDE (2.1483 g/34.65g),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
0093-5938,Lanthanum carbonate,,"Teva Pharmaceuticals USA, Inc.",LANTHANUM CARBONATE (500 mg/1),"TABLET, CHEWABLE",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
0406-1550,Codeine Phosphate,,SpecGx LLC,CODEINE PHOSPHATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
0591-5643,Minoxidil,,"Actavis Pharma, Inc.",MINOXIDIL (10 mg/1),TABLET,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
43598-327,Esomeprazole Magnesium,,Dr. Reddy's Laboratories Inc.,ESOMEPRAZOLE MAGNESIUM (20 mg/1),"CAPSULE, DELAYED RELEASE",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
0904-6009,Lorazepam,Lorazepam,Major Pharmaceuticals,LORAZEPAM (2 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA078203
0069-1476,immunoglobulin G,Cutaquig,Pfizer Laboratories Div Pfizer Inc,HUMAN IMMUNOGLOBULIN G (165 mg/mL),SOLUTION,SUBCUTANEOUS,PLASMA DERIVATIVE,BLA,BLA125668
0904-6465,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",all nite,Major Pharmaceuticals,ACETAMINOPHEN (650 mg/30mL); DEXTROMETHORPHAN HYDROBROMIDE (30 mg/30mL); DOXYLAMINE SUCCINATE (12.5 mg/30mL),SOLUTION,ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M012
46602-0006,ARIPIPRAZOLE,,"OTSUKA PHARMACEUTICAL CO., LTD.",ARIPIPRAZOLE (2 mg/1),TABLET,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
10695-167,Naltrexone Hydrochloride Dihydrate,,"Willow Birch Pharma, INC",NALTREXONE HYDROCHLORIDE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
11014-0033,cyclosporine,,"Catalent Pharma Solutions, LLC",CYCLOSPORINE (25 mg/1),"CAPSULE, LIQUID FILLED",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
11014-0723,xanomeline and trospium chloride,,"Catalent Pharma Solutions, LLC",TROSPIUM CHLORIDE (20 mg/1); XANOMELINE TARTRATE (50 mg/1),CAPSULE,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
12527-0385,Pradofloxacin,,Bayer AG,PRADOFLOXACIN (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
12714-080,Interferon-gamma1b,,Boehringer Ingelheim Pharma GmbH and Co. KG,INTERFERON GAMMA-1B (.1 mg/.1mg),SOLUTION,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
12869-114,TROMETHAMINE,,"Corden Pharma Colorado, Inc.",TROMETHAMINE (23 kg/23kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
14501-0003,Alfuzosin Hydrochloride,,MSN Laboratories Private Limited,ALFUZOSIN HYDROCHLORIDE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
14639-8000,Titanium Dioxide,,Merck KgaA,TITANIUM DIOXIDE (.8 kg/kg),POWDER,,BULK INGREDIENT,DRUG FOR FURTHER PROCESSING,
16837-840,"famotidine, calcium carbonate, and magnesium hydroxide",,Kenvue Brands LLC,CALCIUM CARBONATE (800 mg/1); FAMOTIDINE (10 mg/1); MAGNESIUM HYDROXIDE (165 mg/1),"TABLET, CHEWABLE",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
17337-0234,Rotigotine,,Olon SpA,ROTIGOTINE (1 g/g),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
17504-0012,EMAPALUMAB 25 mg/ml,,"Lonza Biologics, plc",EMAPALUMAB (25 mg/mL),LIQUID,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
24584-1115,NALOXEGOL,,Piramal Healthcare UK Limited,NALOXEGOL OXALATE (12.5 mg/1),"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
36998-5960,levetiracetam,,UCB Pharma S.A.,LEVETIRACETAM (750 mg/1),"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
38779-2443,Topiramate,,Medisca Inc.,TOPIRAMATE (1 g/g),POWDER,,BULK INGREDIENT,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,
41701-013,Leuprolide Acetate,,Piramal Pharma Limited,LEUPROLIDE ACETATE (243 g/243g),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
42765-053,RABEPRAZOLE SODIUM (Y-FORM),,METROCHEM API PRIVATE LIMITED,RABEPRAZOLE SODIUM (25 kg/25kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
55464-101,Pyrethrum Extract and Piperonyl Butoxide,,McLaughlin Gormley King Company,PIPERONYL BUTOXIDE (.194 g/kg); PYRETHRUM EXTRACT (.016 g/kg),LIQUID,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
55742-013,Hyoscyamine Sulfate,,Alchem International Private Ltd,HYOSCYAMINE SULFATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
57520-1461,"Enterococcus Faecalis, Pneumococcinum, Streptococcus Viridans",,Apotheca Company,ENTEROCOCCUS FAECALIS (30 [hp_X]/mL); STREPTOCOCCUS PNEUMONIAE (30 [hp_X]/mL); STREPTOCOCCUS VIRIDANS GROUP (30 [hp_X]/mL),LIQUID,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
58032-1022,Rotigotine,,Neuland Laboratories Limited,ROTIGOTINE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
0069-5410,hydroxyzine pamoate,Vistaril,Pfizer Laboratories Div Pfizer Inc,HYDROXYZINE PAMOATE (25 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,NDA,NDA011459
0924-0009,Alcohol Pad,First Aid Only Alcohol Antiseptic Pad,Acme United Corporation,ISOPROPYL ALCOHOL (70 g/100g),SWAB,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
48087-0085,PROCARBAZINE HYDROCHLORIDE,,F.I.S. FABBRICA ITALIANA SINTETICI S.P.A.,PROCARBAZINE HYDROCHLORIDE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
49187-0835,Osimetinib mesylate,,Lonza AG,OSIMERTINIB MESYLATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
49452-4891,Omeprazole,,"Spectrum Laboratory Products, Inc.",OMEPRAZOLE (1 g/g),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
49803-005,Testosterone Enanthate,,Steroid S.p.A.,TESTOSTERONE ENANTHATE (25000 g/25000g),"INJECTION, SOLUTION",,BULK INGREDIENT,BULK INGREDIENT,
50379-0014,Rivastigmine,,MSN Organics Private Limited,RIVASTIGMINE (1 kg/kg),LIQUID,,BULK INGREDIENT,BULK INGREDIENT,
50917-877,MAGNESIUM OXIDE,,Dead Sea Periclase,MAGNESIUM OXIDE (1 kg/kg),GRANULE,,BULK INGREDIENT,BULK INGREDIENT,
51552-0641,Jelene,,Fagron Inc,MINERAL OIL (1 g/g),CREAM,,BULK INGREDIENT,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,
51916-360,Decitabine,,"Wuhan Biocause Pharmaceutical Development Co., Ltd",DECITABINE (100 g/100g),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
51927-0334,MORPHINE SULFATE,,Professional Compounding Centers of America,MORPHINE SULFATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,
51927-5136,RIBOFLAVIN 5-PHOSPHATESODIUM,,Professional Compounding Centers of America,RIBOFLAVIN 5'-PHOSPHATE SODIUM (25 kg/25kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,
52286-0017,Rabeprazole Sodium,,"UQUIFA Mexico, S.A. DE C.V.",RABEPRAZOLE SODIUM (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
52946-0819,Nafcillin Sodium,,ACS Dobfar S.p.A,NAFCILLIN SODIUM (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
53129-025,POLYSULFATED GLYCOSAMINOGLYCAN,,Daiichi Sankyo Altkirch,POLYSULFATED GLYCOSAMINOGLYCAN (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
53869-1435,abrocitinib,,Pfizer Manufacturing Deutschland GmbH,ABROCITINIB (200 mg/1),"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
54778-027,Acetaminophen Microcaps,,"Zhejiang Kangle Pharmaceutical Co., Ltd (Binhai Plant)",ACETAMINOPHEN (1 kg/kg),GRANULE,,BULK INGREDIENT,BULK INGREDIENT,
55111-025,Amlodipine Besylate,,Dr. Reddy's Laboratories Limited,AMLODIPINE BESYLATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
65372-1114,quetiapine fumarate,,Jubilant Biosys limited,QUETIAPINE FUMARATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
65691-0048,Celecoxib,,Cadila Pharmaceuticals Limited,CELECOXIB (25 kg/25kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
65862-044,Lisinopril and Hydrochlorothiazide,,Aurobindo Pharma Limited,HYDROCHLOROTHIAZIDE (12.5 mg/1); LISINOPRIL (20 mg/1),TABLET,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
65862-426,Pantoprazole Sodium Sesquihydrate,,Aurobindo Pharma Limited,PANTOPRAZOLE SODIUM (50 kg/50kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
65862-785,Naproxen Sodium,,Aurobindo Pharma Limited,NAPROXEN SODIUM (220 mg/1),"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
59349-0031,Clofazimine micronized,,Derivados Quimicos,CLOFAZIMINE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
59651-605,Paclitaxel,,Aurobindo Pharma Limited,PACLITAXEL (50 kg/50kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
0941-0459,"sodium chloride, sodium lactate, calcium chloride, magnesium chloride and dextrose",DIANEAL Low Calcium with Dextrose,Vantive US Healthcare LLC,CALCIUM CHLORIDE (18.3 mg/100mL); DEXTROSE MONOHYDRATE (4.25 g/100mL); MAGNESIUM CHLORIDE (5.08 mg/100mL); SODIUM CHLORIDE (538 mg/100mL); SODIUM LACTATE (448 mg/100mL),"INJECTION, SOLUTION",INTRAPERITONEAL,HUMAN PRESCRIPTION DRUG,NDA,NDA017512
60722-1007,Methylprednisolone acetate,,"Zhejiang Xianju Pharmaceutical Co., Ltd.",METHYLPREDNISOLONE ACETATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
61474-4390,Bisacodyl,,Catalent Ontario Limited,BISACODYL (5 mg/1),"CAPSULE, LIQUID FILLED",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
62147-0277,Icatibant Acetate,,USV Private Limited,ICATIBANT ACETATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
62422-0004,PACLITAXEL,,SERIPHARM,PACLITAXEL (1 g/g),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
62756-982,Bortezomib,,"SUN PHARMACEUTICAL INDUSTRIES, INC.",BORTEZOMIB (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
62991-3203,Methylene Blue,,"LETCO MEDICAL, LLC",METHYLENE BLUE (1 g/g),POWDER,,BULK INGREDIENT,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,
63285-864,dasatinib,,"Patheon, Inc.",DASATINIB (70 mg/1),TABLET,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
63552-043,MESALAMINE,,Patheon Manufacturing Services LLC,MESALAMINE (500 mg/1),CAPSULE,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
64025-0019,Testosterone Propionate,,"Jiangsu Jiaerke Pharmaceuticals Group Corp., Ltd.",TESTOSTERONE PROPIONATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
64552-4079,Aripiprazole Lauroxil,,"Interquim, S.A.",ARIPIPRAZOLE LAUROXIL (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
64757-0019,Manganese (II) chloride tetrahydrate,,ChemCon GmbH,MANGANESE CHLORIDE (1 g/g),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
65089-0039,Dorzolamide Hydrochloride,,Curia Spain S.A.U.,DORZOLAMIDE HYDROCHLORIDE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
73774-004,Estradiol Valerate,,SHAKTI LIFESCIENCE PRIVATE LIMITED,ESTRADIOL VALERATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
76072-1015,Empagliflozin,,Cohance Lifesciences Limited,EMPAGLIFLOZIN (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
77382-0090,Memantine Hydrochloride,,Chemo Biosynthesis s.r.l.,MEMANTINE HYDROCHLORIDE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
81955-0016,NIRAPARIB TOSYLATE MONOHYDRATE,,VALARY LAB PRIVATE LIMITED,NIRAPARIB TOSYLATE MONOHYDRATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
82393-208,Bupivacaine HCl,,"Pharma Source Direct, Inc.",BUPIVACAINE HYDROCHLORIDE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
66003-601,prasugrel,,Daiichi Sankyo Europe GmBH,PRASUGREL HYDROCHLORIDE (5 mg/1),"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
66064-9001,Sodium Valproate,,Harman Finochem Limited,VALPROATE SODIUM (25 kg/25kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
66558-0193,LIRAGLUTIDE,,FRESENIUS KABI IPSUM SRL,LIRAGLUTIDE (1 g/g),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
67417-223,Magnesium hydroxide,,SPI Pharma Inc.,MAGNESIUM HYDROXIDE (12 kg/100kg),PASTE,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
10202-002,Isopropyl Alcohol,Isopropyl Rubbing Alcohol,"7-Eleven, Inc.",ISOPROPYL ALCOHOL (70 mL/100mL),SOLUTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,505G(a)(3)
10210-0030,"OCTINOXATE, OXYBENZONE",Carmex Daily Care Moisturizing Lip Balm Cupcake Batter SPF 15,"Carma Laboratories, Inc.",OCTINOXATE (75 mg/g); OXYBENZONE (40 mg/g),SALVE,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
69766-009,Esomeprazole Magnesium,,MSN Life Sciences Private Limited,ESOMEPRAZOLE MAGNESIUM (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
68554-0111,Voriconazole,,Hetero Labs Limited,VORICONAZOLE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
69037-0048,Sapropterin Dihydrochloride,,Honour Lab Limited,SAPROPTERIN DIHYDROCHLORIDE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
70153-001,Metformin HCl,,Merck Sante,METFORMIN HYDROCHLORIDE (85 kg/85kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
70952-002,Imidacloprid,,"Jiangsu Willing Bio-Tech Co., Ltd.",IMIDACLOPRID (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
71052-391,Bupropion HCl,,"Darmerica, LLC",BUPROPION HYDROCHLORIDE (1 g/g),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
71554-120,Oxazepam,,R.L.Fine Chem Private Limited,OXAZEPAM (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
